ward,year,category,location,cost,geometry_type,grammar
43,2025,Street Bump Outs,N SHEFFIELD AVE & W SCHUBERT AVE,32000.0,point,intersection
43,2025,Street Bump Outs,W BELDEN AVE & N COMMONWEALTH AVE,28272.2,point,intersection
43,2025,Street Light Upgrade,2001 N MOHAWK ST,500.0,unknown,single_address
43,2025,Street Resurfacing,2200-2300 N LINCOLN PARK WEST,67603.13,line,address_range
43,2025,Street Resurfacing,ON N KENMORE AVE FROM N MAUD AVE (1900 N) TO W ARMITAGE AVE,84631.42,line,street_segment
43,2025,Street Resurfacing,ON N ST MICHAELS CT FROM W EUGENIE ST (1700 N) TO W WILLOW ST,12673.24,line,street_segment
43,2025,Street Resurfacing,ON W ARLINGTON PL FROM N LAKEVIEW AVE (400 W) TO N CLARK ST,41320.27,line,street_segment
43,2025,Street Resurfacing,ON W BELDEN AVE FROM N CLARK ST (410 W) TO N CLEVELAND AVE,40835.09,line,street_segment
43,2025,Street Resurfacing,ON W DEMING PL FROM N CLARK ST (500 W) TO N ORCHARD ST,97504.68,line,street_segment
43,2025,Street Resurfacing,ON W EUGENIE ST FROM N HUDSON AVE (440 W) TO N ST MICHAELS CT,3611.22,line,street_segment
43,2025,Street Resurfacing,ON W SCHUBERT AVE FROM N LINCOLN AVE (1100 W) TO N RACINE AVE,44411.14,line,street_segment
43,2025,Street Resurfacing,ON W WILLOW ST FROM N FERN CT (420 W) TO N ST MICHAELS CT,19365.4,line,street_segment
43,2025,Street Resurfacing,ON W WRIGHTWOOD AVE FROM N LAKEVIEW AVE (400 W) TO N PINE GROVE AVE,28007.53,line,street_segment
43,2025,Street Resurfacing,ON W WRIGHTWOOD AVE FROM N SEMINARY AVE (1100 W) TO N RACINE AVE,69464.76,line,street_segment
43,2025,Street Speed Hump,ON N MOHAWK ST FROM W ARMITAGE AVE (2000 N) TO W DICKENS AVE,4880.0,line,street_segment
43,2025,Unknown,MENU BUDGET,1500000.0,unknown,unresolvable_text
43,2025,Unknown,WARD COMMITTED 2025 TOTAL,1499999.99,unknown,unresolvable_text
43,2025,Unknown,WARD 2025 BALANCE,0.01,unknown,unresolvable_text
43,2025,Unknown,Abraham Lincoln Park - Lakeview Dog Park 500-5700 N LAKE SHORE DR,100000.0,unknown,named_place
43,2025,Alley Resurfacing,N COMMONWEALTH AVE & W SURF ST&W OAKDALE AVE & N SHERIDAN RD,19652.72,polygon,alley_block_polygon
43,2025,Alley Resurfacing,N JANSSEN AVE & W CORNELIA AVE&W ADDISON ST & N SOUTHPORT AVE,21458.56,polygon,alley_block_polygon
43,2025,Alley Resurfacing,N LAKEWOOD AVE & W HENDERSON ST&W SCHOOL ST & N RACINE AVE,15172.15,polygon,alley_block_polygon
43,2025,Alley Resurfacing,W BUCKINGHAM PL & N HALSTED ST&N CLARK ST & W ALDINE AVE,24936.7,polygon,alley_block_polygon
43,2025,Alley Resurfacing,W SCHOOL ST & N LAKEWOOD AVE&N RACINE AVE & W MELROSE ST,41587.43,polygon,alley_block_polygon
43,2025,Alley Speed Hump,N BROADWAY & W ALDINE AVE&W MELROSE ST & N HALSTED ST,725.0,point,intersection
43,2025,Bollard,W ROSCOE ST & N LAKE SHORE DR,18865.46,point,intersection
43,2025,Curb & Gutter,1225 W EDDY ST,16934.3,unknown,single_address
43,2025,Curb & Gutter,829-837 W NEWPORT AVE,68858.16,line,address_range
43,2025,Unknown,N CLARK ST & W WELLINGTON AVE,75129.66,point,intersection
43,2025,Unknown,N HALSTED ST & W WELLINGTON AVE,87104.82,point,intersection
43,2025,Unknown,Miscellaneous Other Projects (2025) 600 W WELLINGTON AVE,660.0,unknown,unresolvable_text
43,2025,Pavement Markings,Pavement Markings Menu (2025) W BARRY AVE & N CLARK ST,4000.0,point,intersection
43,2025,Unknown,Speed Indicator Signs (2025) W ADDISON ST & N FREMONT ST,38000.0,point,intersection
43,2025,Street Bump Outs,N SEMINARY AVE & W CORNELIA AVE,20000.0,point,intersection
43,2025,Street Bump Outs,W OAKDALE AVE & N LAKE SHORE DR,20000.0,point,intersection
44,2025,Street Light Residential Staggered Piggy Back,ON N SOUTHPORT AVE FROM W HENDERSON ST (3331 N) TO W GRACE ST,582531.07,line,street_segment
44,2025,Street Resurfacing,ON N PINE GROVE AVE FROM W DIVERSEY PKWY (2800 N) TO W SURF ST,44829.93,line,street_segment
44,2025,Street Resurfacing,ON W BRIAR PL FROM N SHERIDAN RD (400 W) TO N BROADWAY,121730.81,line,street_segment
44,2025,Street Resurfacing,ON W CORNELIA AVE FROM N RACINE AVE (1200 W) TO N LAKEWOOD AVE,53622.0,line,street_segment
44,2025,Street Resurfacing,ON W HAWTHORNE PL FROM N LAKE SHORE DR (500 W) TO N BROADWAY,93832.96,line,street_segment
44,2025,Street Speed Hump,ON N WAYNE AVE FROM W GRACE ST (3800 N) TO W BYRON ST,4880.0,line,street_segment
44,2025,Unknown,MENU BUDGET,1500000.0,unknown,unresolvable_text
44,2025,Unknown,WARD COMMITTED 2025 TOTAL,1499999.99,unknown,unresolvable_text
44,2025,Unknown,WARD 2025 BALANCE MULLIGAN AVE,0.01,unknown,unresolvable_text
44,2025,Street Resurfacing,ON N ALGONQUIN AVE FROM N CALDWELL AVE (6430 N) TO N LEHIGH AVE,36247.11,line,street_segment
44,2025,Street Resurfacing,ON N CHICORA AVE FROM N CALDWELL AVE (6530 N) TO N LEOTI AVE,57008.19,line,street_segment
44,2025,Street Resurfacing,ON N HIAWATHA AVE FROM N CENTRAL AVE (6540 N) TO N KINZUA AVE,137476.16,line,street_segment
44,2025,Street Resurfacing,ON N LEAMINGTON AVE FROM W LELAND AVE (4700 N) TO N AVONDALE AVE,31854.99,line,street_segment
44,2025,Street Resurfacing,ON N LECLAIRE AVE FROM N ELSTON AVE (5300 N) TO W FOSTER AVE,75600.93,line,street_segment
44,2025,Street Resurfacing,ON N LORON AVE FROM N CALDWELL AVE (6620 N) TO N HIAWATHA AVE,117237.97,line,street_segment
44,2025,Street Resurfacing,ON N LOWELL AVE FROM 4125 N TO W IRVING PARK RD,87365.91,line,street_segment
44,2025,Street Resurfacing,ON N LUDLAM AVE FROM N LORING AVE (5230 N) TO N LIND AVE,58159.08,line,street_segment
44,2025,Street Resurfacing,AVE FROM W FARRAGUT AVE (5230 N) TO N LYNCH AVE (5300 N); ON N LYNCH AVE FROM N,175984.18,line,street_segment
44,2025,Street Resurfacing,ON N MANILA AVE FROM N MAGNET AVE (5400 N) TO N MILWAUKEE AVE,3339.42,line,street_segment
44,2025,Street Resurfacing,ON N MCALPIN AVE FROM N LEOTI AVE (7000 N) TO N TAHOMA AVE,30155.98,line,street_segment
44,2025,Street Resurfacing,ON N MELVINA AVE FROM W FOSTER AVE (5200 N) TO W BERWYN AVE,61811.48,line,street_segment
44,2025,Street Resurfacing,ON N MENARD AVE FROM W LAWRENCE AVE (4800 N) TO W EASTWOOD AVE,103439.69,line,street_segment
44,2025,Street Resurfacing,ON N MONON AVE FROM N SIOUX AVE (7030 N) TO N IONIA AVE,65735.85,line,street_segment
44,2025,Street Resurfacing,ON N NEOLA AVE FROM N NASSAU AVE (6160 N) TO W RAVEN ST,32427.67,line,street_segment
44,2025,Street Resurfacing,ON N PARKSIDE AVE FROM W SEMINOLE ST (5700 N) TO N ELSTON AVE,22577.46,line,street_segment
44,2025,Street Resurfacing,ON W AINSLIE ST FROM N LECLAIRE AVE (5100 W) TO N LARAMIE AVE,73986.16,line,street_segment
44,2025,Street Resurfacing,ON W AINSLIE ST FROM N MAJOR AVE (5700 W) TO N MENARD AVE,88692.58,line,street_segment
44,2025,Street Resurfacing,ON W CARMEN AVE FROM N LONG AVE (5400 W) TO N LOCKWOOD AVE,24651.37,line,street_segment
44,2025,Street Resurfacing,ON W CARMEN AVE FROM N LONG AVE (5400 W) TO N LOVEJOY AVE,44566.41,line,street_segment
