ward,year,category,location,cost,geometry_type,grammar
11,2025,Street Speed Hump,ON S LEAVITT ST FROM W 34TH ST (3400 S) TO W 35TH ST,4880.0,line,street_segment
11,2025,Street Speed Hump,ON W 42ND PL FROM S ALBANY AVE (3100 W) TO S KEDZIE AVE,4880.0,line,street_segment
12,2025,Unknown,MENU BUDGET,1500000.0,unknown,unresolvable_text
12,2025,Unknown,WARD COMMITTED 2025 TOTAL,1054884.24,unknown,unresolvable_text
12,2025,Unknown,WARD 2025 BALANCE,445115.76,unknown,unresolvable_text
12,2025,Alley Apron,5556 S KOSTNER AVE,32111.86,unknown,single_address
12,2025,Alley Speed Hump,S KILBOURN AVE & W 58TH ST&W 59TH ST & S KENNETH AVE; 5819 S KILBOURN AVE,3625.0,polygon,alley_block_polygon
12,2025,Concrete Alley,5915 S NORMANDY AVE,2554.56,unknown,single_address
12,2025,Concrete Alley,6027 S RUTHERFORD AVE,11670.46,unknown,single_address
12,2025,Concrete Alley,6121 S KOSTNER AVE,18946.7,unknown,single_address
12,2025,Concrete Alley,6126 W 60TH ST; 6144 W 60TH ST,26823.5,unknown,multi_location
12,2025,Curb & Gutter,5626 S OAK PARK AVE,15640.64,unknown,single_address
12,2025,Curb & Gutter,5702 S KEELER AVE,3991.93,unknown,single_address
12,2025,Curb & Gutter,5736 S KENNETH AVE,5624.01,unknown,single_address
12,2025,Curb & Gutter,5746 S MERRIMAC AVE,5628.59,unknown,single_address
12,2025,Curb & Gutter,5805 S NOTTINGHAM AVE; 5834 S NOTTINGHAM AVE,10768.38,unknown,multi_location
12,2025,Curb & Gutter,6105 S MCVICKER AVE; 6148 S MCVICKER AVE,18229.36,unknown,multi_location
12,2025,Curb & Gutter,6147 W 64TH ST,545.42,unknown,single_address
12,2025,Curb & Gutter,6155 S MOODY AVE; 6128 S MOODY AVE,8275.16,unknown,multi_location
12,2025,Curb & Gutter,6159 S MONITOR AVE,11482.98,unknown,single_address
12,2025,Curb & Gutter,6243 S KOLMAR AVE,3213.93,unknown,single_address
12,2025,Curb & Gutter,6245 S RUTHERFORD AVE,5790.43,unknown,single_address
12,2025,Curb & Gutter,6504 W 60TH ST,9359.7,unknown,single_address
12,2025,Curb & Gutter,6846 W 64TH PL; 6842 W 64TH PL,13741.2,unknown,multi_location
12,2025,Curb & Gutter,7055 W 64TH ST,4822.03,unknown,single_address
12,2025,Floodlight,5813-5817 S NASHVILLE AVE,1150.0,line,address_range
12,2025,Floodlight,5857 S MASSASOIT AVE,1150.0,unknown,single_address
12,2025,Floodlight,6158 S MOODY AVE,1150.0,unknown,single_address
13,2025,Unknown,Hale Park Improvements 6258 W 62ND ST,50000.0,unknown,named_place
13,2025,Sidewalk,4249 W 59TH ST,4174.28,unknown,single_address
13,2025,Sidewalk,4538 W 64TH PL,10662.31,unknown,single_address
13,2025,Sidewalk,4543 W 64TH ST,8987.81,unknown,single_address
13,2025,Sidewalk,5111 W 63RD PL,2204.16,unknown,single_address
13,2025,Sidewalk,5524 S KARLOV AVE,3993.19,unknown,single_address
13,2025,Sidewalk,5531 S NEW ENGLAND AVE; 5549 S NEW ENGLAND AVE,7299.99,unknown,multi_location
13,2025,Sidewalk,5540 S MERRIMAC AVE,15557.44,unknown,single_address
13,2025,Sidewalk,5544 S RUTHERFORD AVE,8696.24,unknown,single_address
13,2025,Sidewalk,5550 S NEWLAND AVE,3202.89,unknown,single_address
13,2025,Sidewalk,5550 S TRIPP AVE,832.22,unknown,single_address
13,2025,Sidewalk,5600 S NASHVILLE AVE,10657.32,unknown,single_address
13,2025,Sidewalk,5601 S MOODY AVE; 5616 S MOODY AVE,2615.82,unknown,multi_location
13,2025,Sidewalk,5604 S SAYRE AVE,6551.67,unknown,single_address
13,2025,Sidewalk,5612 S MASON AVE,8168.35,unknown,single_address
13,2025,Sidewalk,5616 S MEADE AVE; 5643 S MEADE AVE,19107.63,unknown,multi_location
13,2025,Sidewalk,5633 S NATOMA AVE; 5649 S NATOMA AVE,14231.1,unknown,multi_location
13,2025,Sidewalk,5658 S NOTTINGHAM AVE,15938.51,unknown,single_address
13,2025,Sidewalk,5700 W 63RD PL,2955.39,unknown,single_address
13,2025,Sidewalk,5713 S MOODY AVE; 5736 S MOODY AVE,14712.74,unknown,multi_location
13,2025,Sidewalk,5724 S MERRIMAC AVE,3064.34,unknown,single_address
13,2025,Sidewalk,5729 S NORDICA AVE,1847.12,unknown,single_address
13,2025,Sidewalk,5738 S OAK PARK AVE,1543.68,unknown,single_address
13,2025,Sidewalk,5746 W 59TH ST; 5754 W 59TH ST,17431.92,unknown,multi_location
13,2025,Sidewalk,5751 S NASHVILLE AVE,2945.93,unknown,single_address
13,2025,Sidewalk,5755 W 55TH ST,3557.88,unknown,single_address
13,2025,Sidewalk,5759 W 63RD PL,15376.17,unknown,single_address
13,2025,Sidewalk,5805 S NORDICA AVE,2931.18,unknown,single_address
13,2025,Sidewalk,5818 S MERRIMAC AVE,4029.58,unknown,single_address
13,2025,Sidewalk,5818 S NEWLAND AVE,13111.42,unknown,single_address
13,2025,Sidewalk,5819 S AUSTIN AVE,3767.03,unknown,single_address
13,2025,Sidewalk,5842 S NATCHEZ AVE,672.54,unknown,single_address
