ward,year,category,location,cost
23,2017,Alley Apron,5454 S RUTHERFORD AVE,11627.92
23,2017,Alley Apron,6352 S NARRAGANSETT AVE:6358 S NARRAGANSETT AVE,12339.54
23,2017,Alley Apron,5159 S NEWCASTLE AVE,12230.29
23,2017,Alley Apron,3652 W 62ND PL,17125.2
23,2017,Alley Apron,5735 W 55TH ST,14797.11
23,2017,Alley Apron,5300 S MAYFIELD AVE,19499.0
23,2017,Alley Apron,5159 S KOLMAR AVE,18177.38
23,2017,Alley Apron,5711 W 58TH ST,14548.43
23,2017,Alley Resurfacing,W 61ST PL & S ST LOUIS AVE&W 61ST ST & S HOMAN AVE,34296.8
23,2017,Bollard,3604 W 62ND ST,1014.86
23,2017,Bollard,5446 S NEW ENGLAND AVE,1688.96
23,2017,Bollard,5700 S CENTRAL PARK AVE,638.98
23,2017,Bollard,5447 S NEWLAND AVE S NEWLAND AVE & W 56TH ST&S NEW ENGLAND AVE & W 57TH,1594.64
23,2017,Concrete Alley,ST:5643 S NEWLAND AVE,95946.15
23,2017,Curb & Gutter,S):5758 S MONITOR AVE,910.26
23,2017,Curb & Gutter,5119 S NEWLAND AVE,3277.38
23,2017,Curb & Gutter,5342-5344 S NEWLAND AVE,4442.55
23,2017,Curb & Gutter,5459 S OAK PARK AVE,2337.27
23,2017,Curb & Gutter,6940 W 63RD PL,4882.0
23,2017,Curb & Gutter,7033 W 64TH ST,2606.33
23,2017,Curb & Gutter,5659 S RUTHERFORD AVE,4281.06
23,2017,Curb & Gutter,3700 W 64TH PL,6857.52
23,2017,Sidewalk,5401 S HARLEM AVE,9839.5
23,2017,Sidewalk,3730 W 63RD PL,3818.74
23,2017,Sidewalk,5748 S CENTRAL AVE,3694.01
23,2017,Sidewalk,6439 S HARLEM AVE,443.3
23,2017,Sidewalk,5147 S LAWNDALE AVE,4672.08
23,2017,Sidewalk,5343 S MEADE AVE,9904.83
23,2017,Sidewalk,5349 S NATCHEZ AVE,5199.48
23,2017,Sidewalk,5151 S NORDICA AVE,852.77
23,2017,Sidewalk,ON S NATOMA AVE FROM W 53RD ST (5300 S) TO W 54TH ST,24028.05
23,2017,Sidewalk,5122 S RUTHERFORD AVE,3411.77
23,2017,Sidewalk,5725 W 55TH ST,25546.73
23,2017,Sidewalk,3829 W 58TH ST,5692.01
23,2017,Sidewalk,3600 W 59TH ST,1586.11
23,2017,Sidewalk,6846 W 63RD PL,3503.01
23,2017,Sidewalk,7032 W 63RD PL,2805.03
23,2017,Sidewalk,7005 W 64TH PL,3331.13
23,2017,Sidewalk,3622 W 65TH PL,4022.84
23,2017,Sidewalk,3323 W 66TH ST,6164.97
23,2017,Sidewalk,7030 W 60TH ST,11000.82
23,2017,Sidewalk,5915 S SAWYER AVE,7181.76
23,2017,Sidewalk,6040 S SAWYER AVE:6010 S SAWYER AVE,5440.11
23,2017,Sidewalk,5659 S MENARD AVE,2016.62
23,2017,Sidewalk,5939 S HAMLIN AVE,13171.85
23,2017,Sidewalk,ON S NATOMA AVE FROM W 53RD ST (5300 S) TO W 54TH ST,2688.04
23,2017,Sidewalk,5243 S TRIPP AVE,4546.79
23,2017,Sidewalk,5158 S NORDICA AVE,531.25
23,2017,Street Cul-de-Sac,5700 S CENTRAL PARK AVE,49625.22
23,2017,Street Resurfacing,ON S NORDICA AVE FROM W 58TH ST (5800 S) TO W 59TH ST,25793.47
23,2017,Street Resurfacing,ON S NORDICA AVE FROM W 57TH ST (5700 S) TO W 58TH ST,25986.91
23,2017,Street Resurfacing,AVE ON W 65TH PL FROM S HAMLIN AVE (3800 W) TO S SPRINGFIELD AVE,22803.67
23,2017,Street Resurfacing,ON S MOBILE AVE FROM W 63RD ST (6300 S) TO W 63RD PL,38411.54
23,2017,Street Resurfacing,ON S NASHVILLE AVE FROM W 56TH ST (5600 S) TO W 57TH ST,24368.96
23,2017,Street Resurfacing,ON S NAGLE AVE FROM W 54TH ST (5400 S) TO W ARCHER AVE,62442.42
23,2017,Street Resurfacing,ON S LAWNDALE AVE FROM W 63RD ST (6300 S) TO W 64TH PL,132714.68
23,2017,Street Speed Hump,ON S KARLOV AVE FROM W 59TH ST (5900 S) TO W 60TH ST,3700.0
23,2017,Street Speed Hump,ON S KEDVALE AVE FROM W 62ND ST (6200 S) TO W 63RD ST,3700.0
23,2017,Street Speed Hump,ON S TRIPP AVE FROM W 51ST ST (5100 S) TO W 52ND ST,3700.0
23,2017,Street Speed Hump,ON S SPRINGFIELD AVE FROM 6159 S TO W 61ST ST,1850.0
23,2017,Street Speed Hump,ON W 62ND ST FROM 3559 W TO S ST LOUIS AVE,3700.0
23,2017,Street Speed Hump,ON S LAWNDALE AVE FROM W 51ST ST (5100 S) TO W 52ND ST,3700.0
23,2017,Unknown,MENU BUDGET,1320000.0
23,2017,Unknown,WARD COMMITTED 2017 TOTAL,1319999.99
23,2017,Unknown,WARD 2017 BALANCE,0.01
