ward,year,category,location,cost
16,2017,Alley Resurfacing,W 63RD ST & S MAPLEWOOD AVE&W 62ND ST & S CAMPBELL AVE,32994.29
16,2017,Alley Speed Hump,ST & S WINCHESTER AVE,700.0
16,2017,Alley Speed Hump,5316 S HAMILTON AVE,1400.0
16,2017,Unknown,50/50 Neighborhood Arts Program,10000.0
16,2017,Sidewalk,6419 S CARPENTER ST,2422.56
16,2017,Sidewalk,5136 S DAMEN AVE,6903.89
16,2017,Sidewalk,5236 S DAMEN AVE,10895.92
16,2017,Sidewalk,5300 S HOYNE AVE,29228.86
16,2017,Sidewalk,6353-6357 S MARSHFIELD AVE,29366.3
16,2017,Sidewalk,6129 S SEELEY AVE,31603.47
16,2017,Sidewalk,6700 S HONORE ST,107833.43
16,2017,Sidewalk,5800 S MAPLEWOOD AVE,88297.53
16,2017,Sidewalk,6300 S MAPLEWOOD AVE,108099.91
16,2017,Sidewalk,6200 S MOZART ST,26393.87
16,2017,Sidewalk,6100 S MOZART ST,79087.13
16,2017,Sidewalk,5700 S MOZART ST,38273.88
16,2017,Sidewalk,5500 S FRANCISCO AVE,86228.86
16,2017,Sidewalk,6200 S FRANCISCO AVE,41447.84
16,2017,Sidewalk,6000 S WHIPPLE ST ON W 62ND ST FROM S WHIPPLE ST (3030 W) TO S ALBANY AVE (3100,102490.08
16,2017,Sidewalk,5236 S DAMEN AVE,8150.77
16,2017,Sidewalk,2015 W MARQUETTE RD,7652.18
16,2017,Sidewalk,1300-1302 W 64TH ST,1468.75
16,2017,Sidewalk,ON S PAULINA ST FROM W 57TH ST (5700 S) TO W 58TH ST,30461.85
16,2017,Street Light Upgrade,5638 S MORGAN ST ON W 61ST ST FROM S THROOP ST (1300 W) TO S ASHLAND AVE (1600,500.0
16,2017,Street Resurfacing,ON S LAFLIN ST FROM W 63RD ST (6300 S) TO W 64TH ST,52203.31
16,2017,Street Resurfacing,6600-6610 S LAFLIN ST,7452.17
16,2017,Street Speed Hump,65TH ST ON S OAKLEY AVE FROM W MARQUETTE RD (6700 S) TO W 68TH ST,3700.0
16,2017,Street Speed Hump,:6700 S OAKLEY AVE ON S WASHTENAW AVE FROM W 57TH ST (5700 S) TO W 58TH ST (5800,3700.0
16,2017,Street Speed Hump,S):5700 S WASHTENAW AVE,3700.0
16,2017,Street Speed Hump,ON S JUSTINE ST FROM W 65TH ST (6500 S) TO W 66TH ST,3700.0
16,2017,Street Speed Hump,ON S ROCKWELL ST FROM W 63RD ST (6300 S) TO W 64TH ST,3700.0
