ward,year,category,location,cost,_run_id,_success,_lat,_lon,_confidence
33,2017,Alley Apron,3010 W BERTEAU AVE,13000.48,ward1_2017_001,True,41.957584402521206,-87.70370250089599,0.88
33,2017,Alley Apron,3113 N RICHMOND ST,13800.43,ward1_2017_002,True,41.93755386,-87.70117193,0.97
33,2017,Alley Apron,4615 N FRANCISCO AVE,11729.4,ward1_2017_003,True,41.809617844293356,-87.69669317479631,0.88
33,2017,Alley Apron,2915 W BERTEAU AVE,18333.34,ward1_2017_004,True,41.957582693630805,-87.70151090277069,0.88
33,2017,Alley Apron,3614 N ALBANY AVE,8678.13,ward1_2017_005,True,41.94712434,-87.70566329,0.97
33,2017,Alley Apron,3615 N ALBANY AVE,8278.64,ward1_2017_006,True,41.94712674,-87.70512348,0.97
33,2017,Alley Apron,3253 W SUNNYSIDE AVE,10236.65,ward1_2017_007,True,41.96298851248808,-87.71046845976048,0.88
33,2017,Alley Apron,3118 N RICHMOND ST,13595.19,ward1_2017_008,True,41.9377251261234,-87.70145557847063,0.88
33,2017,Alley Apron,ON W BYRON ST FROM 3062 W TO N WHIPPLE ST,13304.43,ward1_2017_009,True,,,0.0
33,2017,Alley Apron,2814 N CAMPBELL AVE,11950.81,ward1_2017_010,True,41.93259048151671,-87.69036312300318,0.88
33,2017,Alley Apron,2911 W FLETCHER ST,11391.8,ward1_2017_011,True,41.938465374075165,-87.70068886597377,0.88
33,2017,Alley Apron,3444 W LELAND AVE,11004.49,ward1_2017_012,True,41.96656418670921,-87.71510161687735,0.88
33,2017,Alley Apron,2729 W BARRY AVE,22000.94,ward1_2017_013,True,41.9373699,-87.69711016,0.97
33,2017,Alley Apron,2913 N WHIPPLE ST,14601.25,ward1_2017_014,True,41.93435615,-87.70354278,0.97
33,2017,Alley Apron,2813 N FRANCISCO AVE,11544.55,ward1_2017_015,True,41.93248759852205,-87.70008375350191,0.88
33,2017,Alley Apron,2813 N CAMPBELL AVE N CALIFORNIA AVE & W NELSON ST&N FRANCISCO AVE & W,12728.79,ward1_2017_016,True,41.936657661768876,-87.6977473083054,0.95
33,2017,Alley Resurfacing,WELLINGTON AVE,32527.4,ward1_2017_017,True,,,0.0
