ward,year,category,location,cost
25,2017,Alley Resurfacing,S HOYNE AVE & W 22ND PL&S LEAVITT ST & W CERMAK RD,33868.31
25,2017,Alley Resurfacing,1800 S RACINE AVE,34373.21
25,2017,Alley Speed Hump,1816 S BLUE ISLAND AVE,700.0
25,2017,Unknown,Arterial Pole and Traffic Equipment Paiting,8650.0
25,2017,Unknown,Avenida Carmen Escarzaga Honorary Sign,634.0
25,2017,Concrete Alley,W 23RD ST & S WESTERN AVE&W 23RD PL & S OAKLEY AVE,160000.0
25,2017,Concrete Alley,W 16TH ST & S THROOP ST&W 18TH ST & S BLUE ISLAND AVE,150000.0
25,2017,Curb & Gutter,2205-2211 W 21ST PL ON S BLUE ISLAND AVE FROM W 16TH ST (1600 S) TO W 18TH ST (1800,16775.75
25,2017,Unknown,LED Changeouts,11500.0
25,2017,Left-Turn Arrow,S ASHLAND AVE & W 18TH ST,20050.0
25,2017,Unknown,50/50 Neighborhood Art Program,10000.0
25,2017,Pavement Markings,Pavement Markings Menu (2017) S WELLS ST & W CONGRESS PKWY,400.0
25,2017,Unknown,POD Camera 2301 W 21ST ST,27011.0
25,2017,Sidewalk,S LEAVITT ST & W 18TH PL,38506.92
25,2017,Sidewalk,1025 W 16TH ST,61497.61
25,2017,Street Light Pole Painting,W 18TH ST & S PAULINA ST,1200.0
25,2017,Unknown,W):ON S SEELEY AVE FROM 2329 S TO W 23RD ST,304000.0
25,2017,Street Resurfacing,ON S WOLCOTT AVE FROM W 19TH ST (1900 S) TO W 21ST ST,56360.74
25,2017,Street Resurfacing,ON S BELL AVE FROM W 24TH ST (2400 S) TO W COULTER ST,21036.35
25,2017,Street Speed Hump,ON S LEAVITT ST FROM W 23RD ST (2300 S) TO W 24TH ST,3700.0
