ward,year,category,location,cost
39,2017,Alley Apron,6338 W HERMIONE ST,4976.81
39,2017,Alley Apron,4825 N KILPATRICK AVE,12834.22
39,2017,Alley Apron,5015 N HARDING AVE:5016 N HARDING AVE,23509.1
39,2017,Alley Resurfacing,N KOSTNER AVE & W CARMEN AVE&N KENNETH AVE & W FOSTER AVE,28682.04
39,2017,Alley Resurfacing,N KENNETH AVE & W FOSTER AVE&N KILBOURN AVE & W CARMEN AVE,23944.15
39,2017,Alley Resurfacing,THORNDALE AVE,45260.78
39,2017,Alley Resurfacing,W FOSTER AVE & N MONTICELLO AVE,7565.33
39,2017,Unknown,Redevelopment - 4546 N Kedvale 4546 N KEDVALE AVE,10000.0
39,2017,Floodlight,N HAMLIN AVE & W GRANVILLE AVE,600.0
39,2017,Unknown,Miscellaneous CDOT Projects (2017) N),15000.0
39,2017,Unknown,Miscellaneous CDOT Projects (2018) 6107 N MILWAUKEE AVE,30255.6
39,2017,Unknown,50/50 Neighborhoods Arts Project,10000.0
39,2017,Pedestrian Refuge Island,N MILWAUKEE AVE & W RAVEN ST,24008.1
39,2017,Sidewalk,5051 N KENNETH AVE,10640.16
39,2017,Sidewalk,6300 W HIGHLAND AVE ON N PULASKI RD FROM W PETERSON AVE (6000 N) TO W BRYN MAWR,5736.3
39,2017,Street Light Pole Painting,AVE ON N ROGERS AVE FROM N KOSTNER AVE (5799 N) TO N LOWELL AVE,20050.0
39,2017,Street Resurfacing,THORNDALE AVE ON N LAPORTE AVE FROM W BERWYN AVE (5300 N) TO N LAWLER AVE,56782.66
39,2017,Street Resurfacing,AVE,38678.97
39,2017,Street Resurfacing,ON W HOLLYWOOD AVE FROM 4336 W TO N KILBOURN AVE,102666.25
39,2017,Street Resurfacing,AVE ON N IONIA AVE FROM N FOREST GLEN AVE (6100 N) TO N KIRKWOOD,80730.84
39,2017,Street Resurfacing,AVE ON N KIRKWOOD AVE FROM N IONIA AVE (6130 N) TO N SAUGANASH,28612.99
39,2017,Street Resurfacing,AVE ON W GRANVILLE AVE FROM N RIDGEWAY AVE (3730 W) TO N,58659.99
39,2017,Street Resurfacing,LAWNDALE AVE ON N LE MAI AVE FROM N LEOTI AVE (6300 N) TO N HIAWATHA AVE,29329.69
39,2017,Street Resurfacing,AVE ON N KNOX AVE FROM W WILSON AVE (4600 N) TO W LELAND AVE,23666.85
39,2017,Street Resurfacing,5900 N LANDERS AVE ON N ST LOUIS AVE FROM W BRYN MAWR AVE (5600 N) TO W,42605.34
39,2017,Street Resurfacing,HOLLYWOOD AVE ON W WILSON AVE FROM N KOSTNER AVE (4399 W) TO N KILDARE AVE,50702.94
39,2017,Street Resurfacing,LAWNDALE AVE ON N AVERS AVE FROM W AINSLIE ST (4900 N) TO W ARGYLE ST (5000,19981.6
