ward,year,category,location,cost,_run_id,_success,_lat,_lon,_confidence
50,2017,Alley Resurfacing,6457 N BELL AVE N MOZART ST & W ROSEMONT AVE&N CALIFORNIA AVE & W,28116.8,ward1_2017_001,True,41.99575222534211,-87.70079039494301,0.95
50,2017,Alley Speed Hump,GRANVILLE AVE:6201-6225 N MOZART ST,700.0,ward1_2017_002,True,,,0.0
50,2017,Unknown,Miscellaneous CDOT Projects (2017) 6444 N FRANCISCO AVE,150.0,ward1_2017_003,True,,,0.0
50,2017,Unknown,50/50 Neighborhood Arts Program,10000.0,ward1_2017_004,True,,,0.0
50,2017,Pavement Markings,Pavement Markings Menu (2018) 6239 N CALIFORNIA AVE,2600.0,ward1_2017_005,True,,,0.0
50,2017,Unknown,BLVD,92182.0,ward1_2017_006,True,,,0.0
50,2017,Street Light Upgrade,6144 N FRANCISCO AVE,500.0,ward1_2017_007,True,41.99347334,-87.70224806,0.97
50,2017,Street Light Upgrade,7422 N CLAREMONT AVE,500.0,ward1_2017_008,True,42.01638436,-87.68916943,0.97
50,2017,Street Light Upgrade,2211 W TOUHY AVE,500.0,ward1_2017_009,True,42.01194488,-87.68662834,0.97
50,2017,Street Light Upgrade,6210 N BERNARD ST,500.0,ward1_2017_010,True,41.99418509,-87.71561033,0.97
50,2017,Street Light Upgrade,6320 N FAIRFIELD AVE,500.0,ward1_2017_011,True,41.99640597300969,-87.69837884604641,0.88
50,2017,Street Light Upgrade,6220 N OAKLEY AVE,500.0,ward1_2017_012,True,41.99481781,-87.68764253,0.97
50,2017,Street Light Upgrade,3535 W GLENLAKE AVE ON W ESTES AVE FROM N CALIFORNIA AVE (2800 W) TO N FRANCISCO,500.0,ward1_2017_013,True,,,0.88
50,2017,Street Resurfacing,AVE ON W FARWELL AVE FROM N WASHTENAW AVE (2700 W) TO N,47340.47,ward1_2017_014,True,,,0.0
50,2017,Street Resurfacing,ROCKWELL ST ON W ESTES AVE FROM N WESTERN AVE (2400 W) TO N ROCKWELL ST,47127.28,ward1_2017_015,True,,,0.88
50,2017,Street Resurfacing,MAPLEWOOD AVE ON W NORTH SHORE AVE FROM N MOZART ST (2830 W) TO N,20619.25,ward1_2017_016,True,,,0.0
50,2017,Street Resurfacing,FRANCISCO AVE ON W JARVIS AVE FROM N WASHTENAW AVE (2700 W) TO N,24994.74,ward1_2017_017,True,,,0.0
50,2017,Street Resurfacing,CALIFORNIA AVE ON W BIRCHWOOD AVE FROM N MAPLEWOOD AVE (2530 W) TO N,48925.54,ward1_2017_018,True,,,0.0
50,2017,Street Resurfacing,ROCKWELL ST ON N ROCKWELL ST FROM W PRATT BLVD (6800 N) TO W FARWELL AVE,31207.75,ward1_2017_019,True,,,0.88
50,2017,Street Resurfacing,AVE ON N WHIPPLE ST FROM W NORTH SHORE AVE (6700 N) TO W PRATT,23894.18,ward1_2017_020,True,,,0.88
50,2017,Street Resurfacing,BLVD ON W COYLE AVE FROM N FRANCISCO AVE (2900 W) TO N,38762.87,ward1_2017_021,True,,,0.0
50,2017,Street Resurfacing,SACRAMENTO AVE ON W ROSEMONT AVE FROM N CALIFORNIA AVE (2800 W) TO N,48444.35,ward1_2017_022,True,,,0.0
50,2017,Street Resurfacing,MOZART ST,9848.37,ward1_2017_023,True,,,0.0
50,2017,Street Resurfacing,3641 W GRANVILLE AVE,8488.36,ward1_2017_024,True,41.99355307,-87.72052462,0.97
50,2017,Street Resurfacing,AVE ON N CAMPBELL AVE FROM W COYLE AVE (6930 N) TO W LUNT AVE,51343.87,ward1_2017_025,True,,,0.88
50,2017,Street Resurfacing,AVE ON N LEAVITT ST FROM W ARTHUR AVE (6500 N) TO W DEVON AVE,70627.41,ward1_2017_026,True,,,0.88
50,2017,Street Resurfacing,AVE ON W ALBION AVE FROM N WESTERN AVE (2400 W) TO N CAMPBELL,50264.86,ward1_2017_027,True,,,0.88
50,2017,Street Resurfacing,AVE ON N ARTESIAN AVE FROM W NORTH SHORE AVE (6700 N) TO W,42399.1,ward1_2017_028,True,,,0.0
50,2017,Street Resurfacing,ALBION AVE ON W JARVIS AVE FROM N OAKLEY AVE (2300 W) TO N WESTERN AVE,47789.43,ward1_2017_029,True,,,0.0
50,2017,Street Speed Hump,BIRCHWOOD AVE ON W ESTES AVE FROM N CALIFORNIA AVE (2800 W) TO N FRANCISCO,1850.0,ward1_2017_030,True,,,0.88
