ward,year,category,location,cost
38,2017,Unknown,Neighborhood Art Program,10000.0
38,2017,Sidewalk,7658 W BELMONT AVE,3932.82
38,2017,Sidewalk,3730 N ORIOLE AVE,5676.58
38,2017,Sidewalk,6949 W ADDISON ST ON W LELAND AVE FROM N MARIA CT (8500 W) TO N OAKVIEW AVE,53126.95
38,2017,Street Resurfacing,ON N MELVINA AVE FROM 4345 N TO W BERTEAU AVE,50119.18
38,2017,Street Resurfacing,ON N MENARD AVE FROM 4059 N TO W IRVING PARK RD,36759.51
38,2017,Street Resurfacing,IRVING PARK RD ON N OCONTO AVE FROM W ADDISON ST (3600 N) TO W WAVELAND,49212.99
38,2017,Street Resurfacing,AVE ON W CORNELIA AVE FROM N OLEANDER AVE (7530 W) TO N ORIOLE,35876.21
38,2017,Street Resurfacing,AVE ON W CORNELIA AVE FROM N OCONTO AVE (7230 W) TO N OCTAVIA,28028.29
38,2017,Street Resurfacing,AVE ON W CULLOM AVE FROM N LINDER AVE (5500 W) TO N LONG AVE,13756.51
38,2017,Street Resurfacing,AVE,38084.32
38,2017,Street Resurfacing,ON W CUYLER AVE FROM 6224 W TO N MELVINA AVE,19415.36
38,2017,Street Resurfacing,ON N OSAGE AVE FROM 3656 N TO W CAHILL TER,37182.89
38,2017,Street Resurfacing,MERRIMAC AVE ON W WARWICK AVE FROM N CENTRAL AVE (5600 W) TO N LINDER AVE,31051.24
38,2017,Street Resurfacing,AVE,29072.26
38,2017,Street Resurfacing,ON W PENSACOLA AVE FROM 5544 W TO N LINDER AVE,50672.38
38,2017,Street Resurfacing,AVE ON W WINDSOR AVE FROM N PATTON AVE (8420 W) TO N MARIA CT,51124.54
38,2017,Street Resurfacing,POTAWATOMIE AVE ON N FORESTVIEW AVE FROM W WILSON AVE (4600 N) TO N,15007.04
38,2017,Street Resurfacing,POTAWATOMIE AVE ON N MAJOR AVE FROM W BYRON ST (3900 N) TO W IRVING PARK RD,25793.35
38,2017,Street Resurfacing,POTAWATOMIE AVE,48452.79
38,2017,Street Resurfacing,ON N MELVINA AVE FROM 4345 N TO W BERTEAU AVE,26364.27
38,2017,Street Resurfacing,W SUNNYSIDE AVE & N MENARD AVE,27967.11
38,2017,Street Resurfacing,AVE ON N OKETO AVE FROM W BYRON ST (3900 N) TO W FOREST PRESERVE,12456.97
38,2017,Street Speed Hump,AVE ON W PENSACOLA AVE FROM N LONG AVE (5400 W) TO N LINDER AVE,1850.0
38,2017,Unknown,MENU BUDGET,1320000.0
38,2017,Unknown,WARD COMMITTED 2017 TOTAL,1319999.99
38,2017,Unknown,WARD 2017 BALANCE,0.01
