ward,year,category,location,cost,_run_id,_success,_lat,_lon,_confidence
42,2017,Alley Resurfacing,728 W JACKSON BLVD,7565.33,ward1_2017_001,True,41.87837168,-87.64514526,0.97
42,2017,Alley Resurfacing,300 N MAC CHESNEY CT,25345.14,ward1_2017_002,True,41.88678598026593,-87.62531717306632,0.88
42,2017,Curb & Gutter,ON N LAKE SHORE DR FROM E ERIE ST (670 N) TO E HURON ST,19530.72,ward1_2017_003,True,41.782195470827304,-87.5755602164702,0.88
42,2017,Curb & Gutter,ON N ORLEANS ST FROM W ONTARIO ST (630 N) TO W ERIE ST,15210.75,ward1_2017_004,True,41.89781685187332,-87.63721701895201,0.88
42,2017,Signs,300 N STATE ST,350.0,ward1_2017_005,True,41.88792977,-87.62907781,0.97
42,2017,Signs,N LA SALLE DR & W CARROLL AVE,350.0,ward1_2017_006,True,,,0.0
42,2017,Unknown,Miscellaneous CDOT Projects (2016) W KINZIE ST & N ORLEANS ST,13163.86,ward1_2017_007,True,41.88913244717552,-87.6369626132384,0.95
42,2017,Unknown,Miscellaneous CDOT Projects (2017) 630 N KINGSBURY ST,150000.0,ward1_2017_008,True,,,0.0
42,2017,Unknown,Miscellaneous CDOT Projects (2017),6000.0,ward1_2017_009,True,,,0.0
42,2017,Unknown,Miscellaneous CDOT Projects (2017) E GRAND AVE & N MICHIGAN LOWER AVE,4095.16,ward1_2017_010,True,41.89173080649775,-87.62416126742745,0.95
42,2017,Unknown,Miscellaneous CDOT Projects (2017) E OAK ST & N MICHIGAN AVE,19702.21,ward1_2017_011,True,41.900820473695966,-87.62411765912076,0.95
42,2017,Unknown,50/50 Neighborhood Arts Program,10000.0,ward1_2017_012,True,,,0.0
42,2017,Pavement Markings,Pavement Markings Menu (2017) W),19000.0,ward1_2017_013,True,,,0.0
42,2017,Pedestrian Countdown Signal,N MICHIGAN AVE & E OHIO ST,21035.0,ward1_2017_014,True,41.892557122646544,-87.62418585452515,0.95
42,2017,Pedestrian Countdown Signal,N MICHIGAN AVE & E LAKE ST,31230.0,ward1_2017_015,True,41.885753632281,-87.62450992737703,0.95
42,2017,Unknown,Pedestrian Countdown Signal N MICHIGAN AVE & E SUPERIOR ST,19882.0,ward1_2017_016,True,41.89573977682432,-87.62427121476028,0.95
42,2017,Unknown,Pedestrian Countdown Signal N MICHIGAN AVE & E ERIE ST,9419.0,ward1_2017_017,True,41.894136222277524,-87.62423708095054,0.95
42,2017,Pedestrian Countdown Signal,N STATE ST & E WACKER DR,26710.0,ward1_2017_018,True,41.88681365338908,-87.6279750042512,0.95
42,2017,Unknown,POD Camera - 445 & 401 E. Ohio 445 E OHIO ST:405 E OHIO ST,54022.0,ward1_2017_019,True,,,0.0
42,2017,Sidewalk,412 N CLARK ST,63000.0,ward1_2017_020,True,41.88967486,-87.6313685,0.97
42,2017,Sidewalk,1040 N LAKE SHORE DR,1599.17,ward1_2017_021,True,41.90200586,-87.62471981,0.97
42,2017,Street Light Pole Painting,N):ON W PEARSON ST FROM N RUSH ST (100 E) TO N STATE ST,5500.0,ward1_2017_022,True,41.89755463076194,-87.62525346496676,0.88
42,2017,Street Light Pole Painting,1031 N STATE ST,3600.0,ward1_2017_023,True,41.90152919722541,-87.62833564380871,0.88
42,2017,Street Light Pole Painting,W GRAND AVE (530 N) TO W OHIO ST,5550.0,ward1_2017_024,True,,,0.0
42,2017,Street Light Pole Painting,871 N WABASH AVE,6600.0,ward1_2017_025,True,41.89863386,-87.62672975,0.97
42,2017,Street Light Pole Painting,ON N CLINTON ST FROM W KINZIE ST (400 N) TO W LAKE ST,4200.0,ward1_2017_026,True,41.86738925746629,-87.6407264168527,0.88
42,2017,Street Light Pole Painting,E OHIO ST & N WABASH AVE,2450.0,ward1_2017_027,True,41.89249612695197,-87.62674686061717,0.95
42,2017,Street Light Pole Painting,ON N LA SALLE ST FROM W HURON ST (700 N) TO W KINZIE ST,8100.0,ward1_2017_028,True,41.711438517984945,-87.62721743345882,0.88
42,2017,Street Light Pole Painting,ON E CHICAGO AVE FROM N RUSH ST (100 E) TO N WABASH AVE,1500.0,ward1_2017_029,True,41.89481765683078,-87.76795084464253,0.88
42,2017,Street Resurfacing,ON E ONTARIO ST FROM N STATE ST (0 E) TO N WABASH AVE,42382.39,ward1_2017_030,True,41.893303914489636,-87.62609057353238,0.88
42,2017,Street Resurfacing,ON E OHIO ST FROM N ST CLAIR ST (200 E) TO N FAIRBANKS CT,68802.46,ward1_2017_031,True,41.892380009885095,-87.67015678035172,0.88
42,2017,Street Resurfacing,ON N RUSH ST FROM E SUPERIOR ST (730 N) TO E ONTARIO ST,92032.17,ward1_2017_032,True,41.902083954519085,-87.62815274021425,0.88
42,2017,Street Resurfacing,ON E BELLEVUE PL FROM N RUSH ST (12 E) TO N LAKE SHORE DR,100925.45,ward1_2017_033,True,41.90156529271109,-87.62789277156548,0.88
42,2017,Street Resurfacing,ON E LAKE ST FROM N STATE ST (0 E) TO N WABASH AVE,51079.06,ward1_2017_034,True,41.8857760446639,-87.62306299169126,0.88
42,2017,Unknown,Traffic Signal- Two Way Conversion ON N MCCLURG CT FROM E OHIO ST (600 N) TO E ONTARIO ST,15000.0,ward1_2017_035,True,,,0.0
