ward,year,category,location,cost
17,2017,Alley Apron,6801 S CLAREMONT AVE,15386.68
17,2017,Alley Apron,8244 S WOLCOTT AVE,16259.16
17,2017,Alley Apron,8245 S WOLCOTT AVE,13424.22
17,2017,Alley Apron,8242 S HONORE ST,11112.67
17,2017,Alley Apron,S SPAULDING AVE & W 71ST ST:3257 W 71ST ST,10481.07
17,2017,Alley Resurfacing,7050 S WASHTENAW AVE,35774.65
17,2017,Alley Resurfacing,7923 S NORMAL AVE,24755.42
17,2017,Alley Resurfacing,1140 W 79TH ST,15039.59
17,2017,Alley Speed Hump,7200 S DAMEN AVE,1400.0
17,2017,Alley Speed Hump,7200 S HOYNE AVE,1400.0
17,2017,Alley Speed Hump,7200 S SEELEY AVE,1400.0
17,2017,Concrete Alley,7915 S HALSTED ST,165000.0
17,2017,Curb & Gutter,7533 S WOOD ST,2179.2
17,2017,Unknown,50/50 Neighborhood Arts Program,10000.0
17,2017,Sidewalk,3501-3507 W 72ND ST,8455.87
17,2017,Sidewalk,3553 W 74TH ST,3410.64
17,2017,Sidewalk,3518-3520 W 74TH ST,3969.37
17,2017,Sidewalk,3455-3459 W 73RD ST,4071.39
17,2017,Sidewalk,7424-7426 S PEORIA ST,819.22
17,2017,Sidewalk,7259 S PAULINA ST,11235.09
17,2017,Sidewalk,6940 S TALMAN AVE,3299.6
17,2017,Sidewalk,7000 S HERMITAGE AVE,8631.88
17,2017,Sidewalk,6629 S ALBANY AVE,3584.82
17,2017,Sidewalk,6626 S ALBANY AVE,1965.86
17,2017,Sidewalk,6634-6636 S ALBANY AVE,5947.54
17,2017,Street Light Upgrade,1311 W 78TH ST:7600 S MARSHFIELD AVE,1000.0
17,2017,Street Light Upgrade,ON S PAULINA ST FROM W 72ND ST (7200 S) TO W 73RD ST,1500.0
17,2017,Street Resurfacing,7600-7900 S WOOD ST ON W 75TH PL FROM S ASHLAND AVE (1600 W) TO S PAULINA ST (1700,134818.4
17,2017,Street Resurfacing,70TH ST,54439.14
17,2017,Street Resurfacing,ON W 75TH PL FROM S PAULINA ST (1700 W) TO S WOOD ST,85409.11
17,2017,Street Resurfacing,ON S NORMAL AVE FROM W 80TH ST (8000 S) TO W 81ST ST,61966.03
17,2017,Street Resurfacing,ON W 80TH ST FROM S MAY ST (1130 W) TO S PEORIA ST,64710.05
17,2017,Street Resurfacing,ON S HOYNE AVE FROM W 71ST ST (7100 S) TO W 71ST PL,18594.66
17,2017,Street Resurfacing,ON E 70TH ST FROM S BELL AVE (2230 W) TO S WESTERN AVE,70146.45
17,2017,Street Speed Hump,73RD ST ON W 72ND PL FROM S LAFLIN ST (1500 W) TO S LOOMIS BLVD (1400,3700.0
17,2017,Street Speed Hump,W):1400-1500 W 72ND PL,3700.0
17,2017,Unknown,MENU BUDGET,1320000.0
17,2017,Unknown,WARD COMMITTED 2017 TOTAL,1319999.99
17,2017,Unknown,WARD 2017 BALANCE,0.01
