ward,year,category,location,cost
42,2017,Alley Resurfacing,728 W JACKSON BLVD,7565.33
42,2017,Alley Resurfacing,300 N MAC CHESNEY CT,25345.14
42,2017,Curb & Gutter,ON N LAKE SHORE DR FROM E ERIE ST (670 N) TO E HURON ST,19530.72
42,2017,Curb & Gutter,ON N ORLEANS ST FROM W ONTARIO ST (630 N) TO W ERIE ST,15210.75
42,2017,Signs,300 N STATE ST,350.0
42,2017,Signs,N LA SALLE DR & W CARROLL AVE,350.0
42,2017,Unknown,Miscellaneous CDOT Projects (2016) W KINZIE ST & N ORLEANS ST,13163.86
42,2017,Unknown,Miscellaneous CDOT Projects (2017) 630 N KINGSBURY ST,150000.0
42,2017,Unknown,Miscellaneous CDOT Projects (2017),6000.0
42,2017,Unknown,Miscellaneous CDOT Projects (2017) E GRAND AVE & N MICHIGAN LOWER AVE,4095.16
42,2017,Unknown,Miscellaneous CDOT Projects (2017) E OAK ST & N MICHIGAN AVE,19702.21
42,2017,Unknown,50/50 Neighborhood Arts Program,10000.0
42,2017,Pavement Markings,Pavement Markings Menu (2017) W),19000.0
42,2017,Pedestrian Countdown Signal,N MICHIGAN AVE & E OHIO ST,21035.0
42,2017,Pedestrian Countdown Signal,N MICHIGAN AVE & E LAKE ST,31230.0
42,2017,Unknown,Pedestrian Countdown Signal N MICHIGAN AVE & E SUPERIOR ST,19882.0
42,2017,Unknown,Pedestrian Countdown Signal N MICHIGAN AVE & E ERIE ST,9419.0
42,2017,Pedestrian Countdown Signal,N STATE ST & E WACKER DR,26710.0
42,2017,Unknown,POD Camera - 445 & 401 E. Ohio 445 E OHIO ST:405 E OHIO ST,54022.0
42,2017,Sidewalk,412 N CLARK ST,63000.0
42,2017,Sidewalk,1040 N LAKE SHORE DR,1599.17
42,2017,Street Light Pole Painting,N):ON W PEARSON ST FROM N RUSH ST (100 E) TO N STATE ST,5500.0
42,2017,Street Light Pole Painting,1031 N STATE ST,3600.0
42,2017,Street Light Pole Painting,W GRAND AVE (530 N) TO W OHIO ST,5550.0
42,2017,Street Light Pole Painting,871 N WABASH AVE,6600.0
42,2017,Street Light Pole Painting,ON N CLINTON ST FROM W KINZIE ST (400 N) TO W LAKE ST,4200.0
42,2017,Street Light Pole Painting,E OHIO ST & N WABASH AVE,2450.0
42,2017,Street Light Pole Painting,ON N LA SALLE ST FROM W HURON ST (700 N) TO W KINZIE ST,8100.0
42,2017,Street Light Pole Painting,ON E CHICAGO AVE FROM N RUSH ST (100 E) TO N WABASH AVE,1500.0
42,2017,Street Resurfacing,ON E ONTARIO ST FROM N STATE ST (0 E) TO N WABASH AVE,42382.39
42,2017,Street Resurfacing,ON E OHIO ST FROM N ST CLAIR ST (200 E) TO N FAIRBANKS CT,68802.46
42,2017,Street Resurfacing,ON N RUSH ST FROM E SUPERIOR ST (730 N) TO E ONTARIO ST,92032.17
42,2017,Street Resurfacing,ON E BELLEVUE PL FROM N RUSH ST (12 E) TO N LAKE SHORE DR,100925.45
42,2017,Street Resurfacing,ON E LAKE ST FROM N STATE ST (0 E) TO N WABASH AVE,51079.06
42,2017,Unknown,Traffic Signal- Two Way Conversion ON N MCCLURG CT FROM E OHIO ST (600 N) TO E ONTARIO ST,15000.0
