ward,year,category,location,cost
27,2017,Alley Resurfacing,801 N TRUMBULL AVE,32528.38
27,2017,Alley Resurfacing,800 N MONTICELLO AVE,36028.38
27,2017,Alley Resurfacing,W HUBBARD ST & N SANGAMON ST&W KINZIE ST & N PEORIA ST,16633.54
27,2017,Alley Resurfacing,872 N FRANKLIN ST W GRAND AVE & N ALBANY AVE&W CHICAGO AVE & N SACRAMENTO,7794.59
27,2017,Alley Resurfacing,BLVD E,6419.07
27,2017,Alley Resurfacing,ST & W HUBBARD ST,36428.31
27,2017,Alley Resurfacing,& W HURON ST ON N RIDGEWAY AVE FROM W THOMAS ST (1100 N) TO W DIVISION ST,69618.91
27,2017,Alley Speed Hump,:1131 N RIDGEWAY AVE,700.0
27,2017,Alley Speed Hump,617 N LOREL AVE,1400.0
27,2017,Concrete Alley,W OAK ST ON S HAMILTON AVE FROM W JACKSON BLVD (300 S) TO W ADAMS ST,176000.0
27,2017,High Definition Camera,:200 S HOYNE AVE,54022.0
27,2017,Unknown,50/50 Neighborhoods Arts Project,10000.0
27,2017,Pedestrian Refuge Island,2110 W OGDEN AVE,29283.08
27,2017,Unknown,1532 W. Fulton) 1532 W FULTON ST,54022.0
27,2017,Unknown,POD Camera 600 N CENTRAL PARK AVE,27011.0
27,2017,Sidewalk,431 N RIDGEWAY AVE ON N SEDGWICK ST FROM W EVERGREEN AVE (1340 N) TO W,361.52
27,2017,Sidewalk,BLACKHAWK ST,191421.23
27,2017,Sidewalk,516 N ALBANY AVE,8071.02
27,2017,Sidewalk,1418 N LA SALLE DR,10642.02
27,2017,Sidewalk,618 N MONTICELLO AVE,4908.27
27,2017,Sidewalk,1750 W LAKE ST,19781.23
27,2017,Sidewalk,718 N WILLARD CT,5949.38
27,2017,Sidewalk,2218 W ADAMS ST ON W OAK ST FROM N CLEVELAND AVE (500 W) TO N CAMBRIDGE AVE,8178.69
27,2017,Sidewalk,718 N WILLARD CT,3718.39
27,2017,Sidewalk,680 N GREEN ST,4976.63
27,2017,Sidewalk,2849 W WARREN BLVD,7765.03
27,2017,Unknown,CHICAGO AVE,196000.0
27,2017,Unknown,ON N THROOP ST FROM W MONROE ST (100 S) TO W MADISON ST,90000.0
27,2017,Street Resurfacing,900 N KINGSBURY ST ON W WALTON ST FROM N ELIZABETH ST (1300 W) TO N NOBLE ST,68443.93
27,2017,Street Resurfacing,ON W OAK ST FROM N ORLEANS ST (340 W) TO N HUDSON AVE,16423.43
27,2017,Street Speed Hump,1050 N CENTRAL PARK AVE,3700.0
27,2017,Street Speed Hump,BLVD ON N OAKLEY AVE FROM W KINZIE ST (400 N) TO W HUBBARD ST (440,1850.0
