ward,year,category,location,cost
32,2017,Alley Apron,1720 N MARSHFIELD AVE,13238.58
32,2017,Alley Apron,1713 N MARSHFIELD AVE,13872.07
32,2017,Alley Resurfacing,AVE W ALTGELD ST & N GREENVIEW AVE&W MONTANA ST & N ASHLAND,40217.23
32,2017,Alley Speed Hump,AVE,2100.0
32,2017,Alley Speed Hump,2213 N LEAVITT ST ON W ALTGELD ST FROM N ARTESIAN AVE (2430 W) TO N CAMPBELL,700.0
32,2017,Arterial Street Bump Outs,N DAMEN AVE & W CHURCHILL ST,30000.0
32,2017,Bollard,2313 W DICKENS AVE,1839.3
32,2017,Curb & Gutter,1523 W WOLFRAM ST,16063.39
32,2017,Curb & Gutter,3204 N OAKLEY AVE,26833.04
32,2017,Curb & Gutter,1748 W WELLINGTON AVE,358.37
32,2017,Signs,N CLYBOURN AVE & W BARRY AVE,600.0
32,2017,Left-Turn Arrow,W BELMONT AVE & N RACINE AVE,2525.0
32,2017,Unknown,50/50 Neighborhood Arts Program,10000.0
32,2017,Sidewalk,2033 W BELMONT AVE,16061.09
32,2017,Sidewalk,2320 N ALBANY AVE,73977.35
32,2017,Sidewalk,1813 N MILWAUKEE AVE,4719.03
32,2017,Sidewalk,SOUTHPORT AVE,113082.89
32,2017,Sidewalk,2104 W WEBSTER AVE,5358.5
32,2017,Street Light Upgrade,1718 N HERMITAGE AVE,500.0
32,2017,Unknown,One Alley Light 1301 W WELLINGTON AVE,500.0
32,2017,Street Resurfacing,DIVERSEY PKWY ON W WELLINGTON AVE FROM N PAULINA ST (1700 W) TO N,95287.33
32,2017,Street Resurfacing,RAVENSWOOD AVE ON N JANSSEN AVE FROM W DIVERSEY PKWY (2800 N) TO N,49070.01
32,2017,Street Resurfacing,SOUTHPORT AVE ON W WOLFRAM ST FROM N OAKLEY AVE (2250 W) TO N WESTERN AVE,45739.07
32,2017,Street Resurfacing,N MILWAUKEE AVE & N KEDZIE AVE,16369.26
32,2017,Street Resurfacing,AVE ON W ST PAUL AVE FROM N WINNEBAGO AVE (2240 W) TO N WESTERN,49987.5
32,2017,Street Resurfacing,AVE ON W MOFFAT ST FROM N WINNEBAGO AVE (2330 W) TO N WESTERN,69221.33
32,2017,Street Resurfacing,AVE ON N OAKLEY AVE FROM W LYNDALE ST (2230 N) TO W SHAKESPEARE,22526.25
32,2017,Street Resurfacing,AVE ON W CHARLESTON ST FROM N LEAVITT ST (2200 W) TO N OAKLEY AVE,21632.28
32,2017,Street Resurfacing,WINCHESTER AVE ON W WABANSIA AVE FROM N BOSWORTH AVE (1530 W) TO N,28869.49
32,2017,Street Resurfacing,ASHLAND AVE ON N WOLCOTT AVE FROM W ROSCOE ST (3400 N) TO W HENDERSON,24046.62
32,2017,Street Resurfacing,GREENVIEW AVE ON W LYNDALE ST FROM N LEAVITT ST (2200 W) TO N OAKLEY AVE,24961.05
32,2017,Street Speed Hump,N OAKLEY AVE ON W WOLFRAM ST FROM N OAKLEY AVE (2250 W) TO N WESTERN AVE,3700.0
32,2017,Traffic Signal LED Upgrade,N WESTERN AVE & W LYNDALE ST,14000.0
