ward,year,category,location,cost
20,2017,Alley Resurfacing,W 53RD ST & S PEORIA ST&W 53RD PL & S HALSTED ST,23037.95
20,2017,Alley Resurfacing,S KIMBARK AVE & E 61ST ST&S WOODLAWN AVE & E 62ND ST,40064.84
20,2017,Alley Resurfacing,700 W 49TH PL:729 W 49TH PL,28259.81
20,2017,Curb & Gutter,6152-6158 S EBERHART AVE,8910.66
20,2017,Curb & Gutter,5026 S ADA ST,7175.51
20,2017,Signs,S HALSTED ST & W 52ND ST,600.0
20,2017,Unknown,Art Projects 6500 S DORCHESTER AVE,138000.0
20,2017,Pedestrian Refuge Island,S LOWE AVE & W 63RD ST,10149.86
20,2017,Sidewalk,ON E 59TH ST FROM S MICHIGAN AVE (100 E) TO S WABASH AVE,52636.86
20,2017,Sidewalk,ON S DORCHESTER AVE FROM E 61ST ST (6100 S) TO E 62ND ST,28851.52
20,2017,Sidewalk,EBERHART AVE ON E 61ST ST FROM S ST LAWRENCE AVE (600 E) TO S CHAMPLAIN AVE,41323.09
20,2017,Sidewalk,4854 S LAFLIN ST,5200.76
20,2017,Sidewalk,ON S PEORIA ST FROM W 49TH PL (4940 S) TO W 50TH ST,85853.83
20,2017,Sidewalk,5500-5510 S LOWE AVE,16519.7
20,2017,Sidewalk,ON W 56TH ST FROM S GREEN ST (830 W) TO S HALSTED ST,39111.68
20,2017,Sidewalk,BLACKSTONE AVE,11000.0
20,2017,Sidewalk,ON S ELIZABETH ST FROM W 51ST ST (5100 S) TO W 52ND ST,7193.11
20,2017,Street Bump Outs,ON S ABERDEEN ST FROM W 51ST ST (5100 S) TO W 52ND ST,22195.45
20,2017,Street Resurfacing,ON S PRINCETON AVE FROM W 61ST ST (6100 S) TO W 61ST PL,34586.16
20,2017,Street Resurfacing,ON W 56TH ST FROM S LOWE AVE (630 W) TO S UNION AVE,11231.83
20,2017,Street Resurfacing,ON S PEORIA ST FROM W 49TH PL (4940 S) TO W 50TH ST,19741.39
20,2017,Street Resurfacing,ON S UNION AVE FROM W 53RD ST (5300 S) TO W 54TH ST,62786.24
20,2017,Street Resurfacing,ON S DREXEL AVE FROM E 62ND ST (6200 S) TO E 63RD ST,43704.43
20,2017,Street Resurfacing,ON S LOWE AVE FROM W 64TH ST (6400 S) TO W 65TH ST,70264.45
20,2017,Street Resurfacing,ON S GREEN ST FROM 5250 S GREEN ST S TO W 52ND ST,41725.2
20,2017,Street Resurfacing,ON W 52ND ST FROM S HALSTED ST (800 W) TO S PEORIA ST,59715.77
20,2017,Street Resurfacing,ON S DREXEL AVE FROM E 61ST ST (6100 S) TO E 62ND ST,46482.85
20,2017,Unknown,Traffic Signal- Two Way Conversion 1600-1612 W 48TH ST,5377.92
20,2017,Viaduct Improvement,S WENTWORTH AVE & W 63RD ST,41182.0
20,2017,Viaduct Improvement,S DORCHESTER AVE & E 65TH ST,21416.06
