ward,year,category,location,cost
10,2017,Alley Resurfacing,S ESCANABA AVE & E 88TH ST&S EXCHANGE AVE & E 89TH ST,47513.62
10,2017,Alley Resurfacing,S AVENUE E & E 108TH ST,35486.68
10,2017,Alley Speed Hump,E 99TH ST & S AVENUE H&E 100TH ST & S AVENUE G,398.35
10,2017,Alley Speed Hump,S AVENUE O & E 134TH ST&S AVENUE N & E 135TH ST,2100.0
10,2017,Concrete Alley,AVE:13138 S MUSKEGON AVE,32000.0
10,2017,Curb & Gutter,9519 S MARQUETTE AVE,2186.69
10,2017,Unknown,50/50 Neighborhood Arts Project,10000.0
10,2017,Unknown,Miscellaneous Other Projects (2018) ACCESS RD,2620.0
10,2017,Sidewalk,10859 S MACKINAW AVE,20765.91
10,2017,Sidewalk,3551-3601 E 113TH ST,10148.06
10,2017,Sidewalk,10301 S AVENUE G,8567.24
10,2017,Sidewalk,10826 S AVENUE N,4044.46
10,2017,Sidewalk,10600 S AVENUE G,14938.86
10,2017,Sidewalk,3258 E 91ST ST,24317.44
10,2017,Sidewalk,10627 S AVENUE F,3933.81
10,2017,Sidewalk,13447 S HOUSTON AVE,13880.81
10,2017,Sidewalk,2800-2806 E 87TH ST,30076.3
10,2017,Sidewalk,10700 S GREEN BAY AVE,12768.17
10,2017,Sidewalk,9849 S EXCHANGE AVE,3196.93
10,2017,Sidewalk,10319 S AVENUE H,6046.4
10,2017,Sidewalk,10125 S EWING AVE,10410.75
10,2017,Sidewalk,2854 E 87TH ST,5750.99
10,2017,Sidewalk,8553-8557 S EXCHANGE AVE,44684.07
10,2017,Sidewalk,8700 S EXCHANGE AVE,20023.66
10,2017,Sidewalk,ON E 105TH ST FROM S AVENUE N (3500 E) TO S AVENUE M,12419.41
10,2017,Sidewalk,13251 S HOUSTON AVE,3539.72
10,2017,Sidewalk,13257 S HOUSTON AVE,3123.52
10,2017,Sidewalk,8553-8557 S EXCHANGE AVE,3256.39
10,2017,Sidewalk,10005 S AVENUE N,2062.82
10,2017,Street Resurfacing,ON S AVENUE M FROM E 97TH ST (9700 S) TO E 99TH ST,144448.02
10,2017,Street Resurfacing,ON S OGLESBY AVE FROM E 96TH ST (9600 S) TO E 97TH ST,32422.96
10,2017,Street Resurfacing,ON S AVENUE M FROM E 95TH ST (9500 S) TO E 96TH ST,60832.29
10,2017,Street Resurfacing,ON S AVENUE M FROM E 99TH ST (9920 S) TO E 100TH ST,63944.81
10,2017,Street Resurfacing,AVE ON E 131ST ST FROM S BUFFALO AVE (3300 E) TO S MACKINAW AVE,15270.49
10,2017,Street Resurfacing,ON S AVENUE H FROM E 113TH ST (11300 S) TO E 114TH ST,57010.69
10,2017,Street Resurfacing,ON S AVENUE G FROM E 105TH ST (10500 S) TO E 108TH ST,192635.32
10,2017,Street Resurfacing,ON E 100TH ST FROM S AVENUE L (3600 E) TO S EWING AVE,13013.92
10,2017,Street Speed Hump,9800 S HOXIE AVE ON E 131ST ST FROM S BUFFALO AVE (3300 E) TO S MACKINAW AVE,3700.0
10,2017,Unknown,MENU BUDGET,1320000.0
10,2017,Unknown,WARD COMMITTED 2017 TOTAL,1319999.99
10,2017,Unknown,WARD 2017 BALANCE,0.01
