ward,year,category,location,cost
11,2017,Alley Apron,3559 S WALLACE ST ON S GROVE ST FROM S FARRELL ST (2700 S) TO S BONFIELD ST (2800,44189.57
11,2017,Alley Apron,S):2612 S FARRELL ST,6892.07
11,2017,Alley Resurfacing,W 33RD ST & S HALSTED ST&W 34TH ST & S EMERALD AVE,42471.05
11,2017,Alley Resurfacing,S EMERALD AVE & W 32ND ST&S HALSTED ST & W 33RD ST,31189.15
11,2017,Alley Resurfacing,S FARRELL ST & S LYMAN ST&S THROOP ST & W 31ST ST,61004.22
11,2017,Alley Resurfacing,S CANAL ST & W 32ND ST&S STEWART AVE & W 33RD ST,31520.29
11,2017,Alley Resurfacing,W 31ST ST & S WENTWORTH AVE&W 30TH ST & S WELLS ST,32034.91
11,2017,Alley Resurfacing,W 43RD PL & S HALSTED ST&W 43RD ST & S EMERALD AVE,25419.14
11,2017,Concrete Alley,W 33RD ST & S WALLACE ST&W 35TH ST & S PARNELL AVE,170000.0
11,2017,Curb & Gutter,3419 S CARPENTER ST,3269.73
11,2017,Left-Turn Arrow,S HALSTED ST & W 26TH ST,13608.0
11,2017,Unknown,Miscellaneous CDOT Projects (2017) S HALSTED ST & W 34TH ST,6828.9
11,2017,Unknown,50/50 Neighborhood Arts Program,10000.0
11,2017,Unknown,POD Camera (2) 1600 S RUBLE ST:2700 S SHIELDS AVE,54022.0
11,2017,Unknown,POD Camera (2) 3200 S CARPENTER ST:3500 S HALSTED ST,54022.0
11,2017,Sidewalk,2900 S WELLS ST ON W 36TH ST FROM S LITUANICA AVE (900 W) TO S SANGAMON ST,18009.27
11,2017,Sidewalk,316 W 25TH PL,6216.1
11,2017,Sidewalk,3008 S KEELEY ST,6181.65
11,2017,Sidewalk,3801 S PARNELL AVE,7567.14
11,2017,Sidewalk,3826-3830 S NORMAL AVE,5006.8
11,2017,Sidewalk,3732-3734 S PARNELL AVE:3723 S PARNELL AVE,4865.64
11,2017,Sidewalk,3531-3631 S NORMAL AVE,51984.77
11,2017,Sidewalk,439 W 37TH ST,8624.99
11,2017,Sidewalk,3727 S UNION AVE ON S SHORT ST FROM S HILLOCK AVE (2840 S) TO S ELEANOR ST (2800,473.76
11,2017,Sidewalk,S):2840 S HILLOCK AVE,4143.63
11,2017,Sidewalk,3240 S PARNELL AVE,2933.01
11,2017,Sidewalk,3559 S WALLACE ST,1973.6
11,2017,Sidewalk,3011 S WALLACE ST,7449.68
11,2017,Unknown,ON S WALLACE ST FROM W ROOT ST (4150 S) TO W 43RD ST,170000.0
11,2017,Unknown,ON S CANAL ST FROM W 31ST ST (3100 S) TO W 33RD ST,70000.0
11,2017,Unknown,ON S LOWE AVE FROM W 29TH ST (2900 S) TO W 31ST ST,17200.0
11,2017,Street Resurfacing,ON S CANAL ST FROM 3950 S TO W PERSHING RD,36931.39
11,2017,Street Resurfacing,ON S WELLS ST FROM W 33RD ST (3300 S) TO W 34TH ST,64584.0
11,2017,Viaduct Improvement,500 W 35TH ST,51193.39
11,2017,Viaduct Improvement,S STEWART AVE & W 35TH ST,15688.66
11,2017,Viaduct Improvement,W 31ST ST & S STEWART AVE,34500.0
11,2017,Viaduct Improvement,W 33RD ST & S STEWART AVE,43500.0
11,2017,Viaduct Improvement,S STEWART AVE & W 38TH ST,52500.0
