ward,year,category,location,cost
46,2017,Alley Apron,1017 W IRVING PARK RD,9226.72
46,2017,Alley Apron,1045 W IRVING PARK RD,10532.9
46,2017,Alley Resurfacing,AVE W SUNNYSIDE AVE & N HAZEL ST&N CLARENDON AVE & W AGATITE,58673.44
46,2017,Alley Resurfacing,AVE W EASTWOOD AVE & N SHERIDAN RD&W WILSON AVE & N,44022.9
46,2017,Alley Resurfacing,CLARENDON AVE W SUNNYSIDE AVE & N HAZEL ST&N CLARENDON AVE & W AGATITE,26145.6
46,2017,Concrete Alley,AVE N FREMONT ST & W GRACE ST&N WILTON AVE & W WAVELAND,254000.0
46,2017,Concrete Alley,AVE:3762 N FREMONT ST,312000.0
46,2017,Curb & Gutter,W IRVING PARK RD & N SEMINARY AVE,22920.24
46,2017,Unknown,Gill Park Playground Equipment 818 W SHERIDAN RD,26951.95
46,2017,Signs,W LAWRENCE DR & N LSD LAWRENCE AV XR,350.0
46,2017,Signs,W WILSON DR & N LSD WILSON AV XR,350.0
46,2017,Signs,W MONTROSE DR & N LSD MONTROSE AV XR,350.0
46,2017,Signs,W WILSON DR & N LSD WILSON AV XR,350.0
46,2017,Unknown,Montrose Beach Fence for Dog Area,11000.0
46,2017,Unknown,Miscellaneous CDOT Projects (2017) DR,634.0
46,2017,Unknown,50/50 Neighborhoods Arts Project,10000.0
46,2017,Pedestrian Countdown Signal,W LAWRENCE AVE & N CLARENDON AVE,20000.0
46,2017,Sidewalk,800 W HUTCHINSON ST,3430.32
46,2017,Sidewalk,931 W WILSON AVE,17650.08
46,2017,Sidewalk,843 W LELAND AVE,3005.66
46,2017,Sidewalk,639-655 W GRACE ST,26413.8
46,2017,Sidewalk,4170 N MARINE DR,905.36
46,2017,Sidewalk,647 W SHERIDAN RD,649.92
46,2017,Sidewalk,1039 W LAWRENCE AVE ON N BROADWAY FROM W ADDISON ST (3600 N) TO W GRACE ST (3799,3164.77
46,2017,Street Light Pole Painting,CLARENDON AVE ON W BYRON ST FROM N SEMINARY AVE (1100 W) TO N KENMORE AVE,2700.0
46,2017,Street Resurfacing,AVE ON W CORNELIA AVE FROM N PINE GROVE AVE (600 W) TO N LAKE,42926.44
46,2017,Street Resurfacing,SHORE DR ON W WILSON AVE FROM N MARINE DR (730 W) TO N CLARENDON AVE,40440.98
46,2017,Traffic Signal LED Upgrade,W IRVING PARK RD & N PINE GROVE AVE,85000.0
46,2017,Unknown,MENU BUDGET,1320000.0
46,2017,Unknown,WARD COMMITTED 2017 TOTAL,1319999.99
46,2017,Unknown,WARD 2017 BALANCE,0.01
