ward,year,category,location,cost
5,2017,Alley Apron,911 E 54TH PL,47637.0
5,2017,Alley Apron,S ELLIS AVE & E 55TH ST,28888.44
5,2017,Left-Turn Arrow,S LAKE PARK AVE & E 55TH ST,80304.0
5,2017,Left-Turn Arrow,S LAKE PARK AVE & E 55TH ST,959.95
5,2017,Unknown,50/50 Neighborhood Arts Program,5000.0
5,2017,Sidewalk,E 61ST ST & S HARPER AVE,15050.76
5,2017,Sidewalk,ON S ELLIS AVE FROM E MARQUETTE RD (6599 S) TO E 67TH ST,38443.99
5,2017,Sidewalk,S WOODLAWN AVE & E 55TH ST,5397.3
5,2017,Sidewalk,6858 S CREGIER AVE,21633.2
5,2017,Sidewalk,6639 S MARYLAND AVE ON S ELLIS AVE FROM E HYDE PARK BLVD (5100 S) TO E 52ND ST (5200,634.14
5,2017,Street Resurfacing,ISLAND AVE ON E 72ND ST FROM S WOODLAWN AVE (1200 E) TO S KIMBARK AVE,71478.64
5,2017,Street Resurfacing,ON S CORNELL AVE FROM E 54TH ST (5400 S) TO E 54TH PL,56513.02
5,2017,Street Resurfacing,ON S DOBSON AVE FROM E 72ND ST (7200 S) TO E 73RD ST,68466.33
5,2017,Street Resurfacing,ON S INGLESIDE AVE FROM E 54TH PL (5450 S) TO E 55TH ST,147193.35
5,2017,Street Resurfacing,STONY ISLAND AVE,240985.2
5,2017,Street Resurfacing,ON E 54TH ST FROM S MARYLAND AVE (830 E) TO S DREXEL AVE,43726.89
5,2017,Street Resurfacing,ON S CONSTANCE AVE FROM E 67TH ST (6700 S) TO E 68TH ST,5353.37
5,2017,Street Resurfacing,ON S DREXEL AVE FROM E 53RD ST (5320 S) TO E 54TH ST,20785.69
5,2017,Street Resurfacing,ON S DREXEL AVE FROM E 54TH ST (5440 S) TO E 54TH ST,42910.47
5,2017,Street Resurfacing,70TH ST,48059.17
5,2017,Street Resurfacing,ON S KENWOOD AVE FROM E 54TH ST (5400 S) TO E 55TH ST,34064.77
