ward,year,category,location,cost
28,2017,Alley Speed Hump,W WALNUT ST & N KEDZIE AVE&W FULTON BLVD & N HOMAN AVE,3500.0
28,2017,Bollard,214-216 N HAMLIN BLVD,1464.69
28,2017,Curb & Gutter,120-198 S ST LOUIS AVE,16551.98
28,2017,Curb & Gutter,3532 W MONROE ST,16661.26
28,2017,Unknown,50/50 Neighborhood Arts Project,10000.0
28,2017,Unknown,Pedestrian Countdown Signal W MADISON ST & S CICERO AVE,22076.68
28,2017,Pedestrian Refuge Island,2110 W OGDEN AVE,9002.05
28,2017,Sidewalk,3831 W WILCOX ST,3977.64
28,2017,Sidewalk,700 S RACINE AVE,68665.39
28,2017,Sidewalk,701 S ADA ST,77679.61
28,2017,Sidewalk,702 S LYTLE ST,95975.87
28,2017,Sidewalk,1249 W FLOURNOY ST,60339.47
28,2017,Sidewalk,1201 W FLOURNOY ST,85249.46
28,2017,Sidewalk,1332 W FLOURNOY ST ON N LATROBE AVE FROM W MADISON ST (0 S) TO W FULTON ST (300,28483.35
28,2017,Unknown,Street Light Residential Staggered Piggy Back MN),148800.0
28,2017,Unknown,Street Light Residential Staggered Piggy Back M,89699.23
28,2017,Unknown,Street Light Residential Staggered Piggy Back MST,246000.0
28,2017,Unknown,Street Light Residential Staggered Piggy Back M,24000.0
28,2017,Unknown,Street Light Residential Staggered Piggy Back M,29000.0
28,2017,Street Light Upgrade,5015 W MONROE ST,800.0
28,2017,Street Light Upgrade,5122 W VAN BUREN ST ON W TAYLOR ST FROM S SACRAMENTO BLVD (3000 W) TO S ALBANY,500.0
28,2017,Street Resurfacing,AVE ON S TRUMBULL AVE FROM W FIFTH AVE (320 S) TO W VAN BUREN ST,45795.0
28,2017,Street Resurfacing,SACRAMENTO BLVD ON W MONROE ST FROM S HAMLIN BLVD (3800 W) TO S SPRINGFIELD,52970.51
28,2017,Street Resurfacing,AVE ON W ARTHINGTON ST FROM S CALIFORNIA AVE (2800 W) TO S,31931.99
28,2017,Street Resurfacing,FRANCISCO AVE ON S KILBOURN AVE FROM W WASHINGTON BLVD (100 N) TO W,53556.72
28,2017,Street Resurfacing,MONROE ST ON S KILBOURN AVE FROM W HARRISON ST (600 S) TO W LEXINGTON ST,46889.24
28,2017,Street Resurfacing,ON N LAMON AVE FROM W LAKE ST (340 N) TO W FULTON ST,310.52
28,2017,Street Speed Hump,200 N LEAMINGTON AVE,3700.0
