ward,year,category,location,cost,_run_id,_success,_lat,_lon,_confidence
8,2017,Floodlight,1645 E 79TH ST,800.0,ward1_2017_001,True,41.75127965,-87.58371924,0.97
8,2017,Unknown,50/50 Neighborhood Arts Project,10000.0,ward1_2017_002,True,,,0.0
8,2017,Sidewalk,8517 S OGLESBY AVE,4844.8,ward1_2017_003,True,41.74028206,-87.56700558,0.97
8,2017,Sidewalk,8814 S CREGIER AVE,577.53,ward1_2017_004,True,41.73469606,-87.58081042,0.97
8,2017,Sidewalk,8960 S EAST END AVE,22665.96,ward1_2017_005,True,41.73162797,-87.58311734,0.97
8,2017,Sidewalk,7759 S DOBSON AVE,8976.7,ward1_2017_006,True,41.75332445,-87.59891974,0.97
8,2017,Sidewalk,8126 S BENNETT AVE,4023.8,ward1_2017_007,True,41.74714463,-87.57863672,0.97
8,2017,Sidewalk,8022 S JEFFERY BLVD,1065.37,ward1_2017_008,True,,,0.0
8,2017,Sidewalk,8315-8317 S OGLESBY AVE,3299.45,ward1_2017_009,True,,,0.0
8,2017,Sidewalk,8614 S CREGIER AVE,9962.91,ward1_2017_010,True,41.73841134152046,-87.58060317413512,0.88
8,2017,Unknown,AVE,102200.0,ward1_2017_011,True,,,0.0
8,2017,Unknown,ON S CREGIER AVE FROM E 89TH ST (8900 S) TO E 91ST ST,97200.0,ward1_2017_012,True,,,0.0
8,2017,Unknown,ON S RIDGELAND AVE FROM E 87TH PL (8730 S) TO E 89TH ST,125000.0,ward1_2017_013,True,,,0.0
8,2017,Unknown,ON S BENNETT AVE FROM E 77TH ST (7700 S) TO E 78TH ST,83000.0,ward1_2017_014,True,,,0.0
8,2017,Unknown,ON S CONSTANCE AVE FROM E 83RD ST (8300 S) TO E 84TH ST,83000.0,ward1_2017_015,True,,,0.0
8,2017,Street Light Upgrade,ON S CONSTANCE AVE FROM E 91ST ST (9100 S) TO E 92ND ST,2500.0,ward1_2017_016,True,,,0.0
8,2017,Street Light Upgrade,8958 S JEFFERY BLVD,500.0,ward1_2017_017,True,,,0.0
8,2017,Street Resurfacing,ON S DORCHESTER AVE FROM E 89TH ST (8900 S) TO E 90TH ST,49314.79,ward1_2017_018,True,,,0.0
8,2017,Street Resurfacing,ON S HARPER AVE FROM E 88TH ST (8800 S) TO E 89TH ST,54006.02,ward1_2017_019,True,,,0.0
8,2017,Street Resurfacing,ON S HARPER AVE FROM E 87TH ST (8700 S) TO E 88TH ST,48935.2,ward1_2017_020,True,,,0.0
8,2017,Street Resurfacing,ON S HARPER AVE FROM E 90TH ST (9000 S) TO E 89TH ST,61049.6,ward1_2017_021,True,,,0.0
8,2017,Street Resurfacing,ON S DANTE AVE FROM E 88TH ST (8800 S) TO E 89TH ST,48051.03,ward1_2017_022,True,,,0.0
8,2017,Street Resurfacing,ON S CONSTANCE AVE FROM E 73RD ST (7300 S) TO E 75TH ST,92192.43,ward1_2017_023,True,,,0.0
8,2017,Street Resurfacing,ON S CORNELL AVE FROM E 76TH ST (7600 S) TO E 79TH ST,115951.99,ward1_2017_024,True,,,0.0
8,2017,Street Resurfacing,ON S DOBSON AVE FROM E 79TH ST (7900 S) TO E 80TH ST,32019.71,ward1_2017_025,True,,,0.0
8,2017,Street Speed Hump,TO S RIDGELAND AVE,3700.0,ward1_2017_026,True,,,0.0
8,2017,Street Speed Hump,ON S RIDGELAND AVE FROM E 87TH PL (8730 S) TO E 88TH ST,1850.0,ward1_2017_027,True,,,0.0
