ward,year,category,location,cost
30,2017,Alley Apron,2457 N MEADE AVE,17084.09
30,2017,Alley Apron,2559 N MAJOR AVE,15423.12
30,2017,Alley Resurfacing,W ROSCOE ST & N KEELER AVE&W HENDERSON ST & N KILDARE AVE,33659.44
30,2017,Alley Resurfacing,W MELROSE ST & N LONG AVE&W BELMONT AVE & N LINDER AVE,25650.81
30,2017,Alley Resurfacing,4106 W NEWPORT AVE,32219.31
30,2017,Alley Resurfacing,3522 N KILPATRICK AVE,50519.37
30,2017,Alley Resurfacing,3620 W WOLFRAM ST,9017.27
30,2017,Alley Resurfacing,3610 N HARDING AVE,28400.85
30,2017,Alley Resurfacing,3102 N MONITOR AVE,27382.94
30,2017,Alley Resurfacing,5301 W NEWPORT AVE,32844.86
30,2017,Alley Resurfacing,N AVERS AVE & W BELMONT AVE:N HAMLIN AVE & W SCHOOL ST,34715.61
30,2017,Alley Resurfacing,3818 W GEORGE ST N MILWAUKEE AVE & N RIDGEWAY AVE&W OAKDALE AVE & N,754.04
30,2017,Alley Speed Hump,CENTRAL PARK AVE,700.0
30,2017,Alley Speed Hump,5422 W PARKER AVE N MONITOR AVE & W DIVERSEY AVE&N MARMORA AVE & W GEORGE,700.0
30,2017,Alley Speed Hump,ST:2800 N MONITOR AVE,2800.0
30,2017,Alley Speed Hump,2415 N LUNA AVE W WAVELAND AVE & N LAMON AVE&W WARWICK AVE & N LAVERGNE,700.0
30,2017,Alley Speed Hump,AVE:4900 W WAVELAND AVE,1400.0
30,2017,Alley Speed Hump,AVE,2800.0
30,2017,Curb & Gutter,4303 W ROSCOE ST,19360.47
30,2017,Curb & Gutter,3317 N AUSTIN AVE,3340.14
30,2017,Curb & Gutter,3114-3116 N MASON AVE,6860.67
30,2017,Curb & Gutter,4021 W ROSCOE ST,2200.98
30,2017,Unknown,50/50 Neighborhood Arts Project,10000.0
30,2017,Unknown,Sidewalk 6101 W SCHUBERT AVE,2155.18
30,2017,Sidewalk,2757 N LINDER AVE,10635.45
30,2017,Sidewalk,5359 W MELROSE ST,8510.36
30,2017,Sidewalk,6014-6018 W NELSON ST,10089.45
30,2017,Sidewalk,2509 N MONITOR AVE ON N MASON AVE FROM W WELLINGTON AVE (3000 N) TO W BARRY,2317.41
30,2017,Sidewalk,AVE,19937.79
30,2017,Sidewalk,3335 N RIDGEWAY AVE,3362.08
30,2017,Sidewalk,4915 W WARWICK AVE,2674.14
30,2017,Sidewalk,5807 W DIVERSEY AVE ON N KILPATRICK AVE FROM W SCHOOL ST (3300 N) TO W ROSCOE ST,2903.07
30,2017,Sidewalk,AVE ON W WAVELAND AVE FROM N KENTON AVE (4600 W) TO N KILPATRICK,43931.12
30,2017,Sidewalk,AVE,43392.53
30,2017,Sidewalk,3301-3303 N AVERS AVE,18233.68
30,2017,Sidewalk,4735 W BERENICE AVE,2893.19
30,2017,Sidewalk,6035 W HENDERSON ST,3449.4
30,2017,Sidewalk,2559 N MAJOR AVE,14866.97
30,2017,Sidewalk,2432 N MENARD AVE,3436.87
30,2017,Sidewalk,3126-3128 N MONTICELLO AVE,3350.69
30,2017,Sidewalk,2715-2723 N MOBILE AVE,1914.93
30,2017,Sidewalk,6049 W MELROSE ST,5786.39
30,2017,Sidewalk,2639 N MCVICKER AVE,5059.4
30,2017,Sidewalk,2852 N MOBILE AVE,4396.0
30,2017,Sidewalk,2721-2723 N MOBILE AVE,3898.77
30,2017,Street Light Upgrade,2719 N MULLIGAN AVE ON N LAWNDALE AVE FROM W CORNELIA AVE (3500 N) TO W ADDISON,500.0
30,2017,Street Resurfacing,AVE ON N AVERS AVE FROM W BELMONT AVE (3200 N) TO W SCHOOL ST,46163.54
30,2017,Street Resurfacing,SCHUBERT AVE ON W HENDERSON ST FROM N LONG AVE (5400 W) TO N LINDER AVE,50964.57
30,2017,Street Speed Hump,AVE ON W WAVELAND AVE FROM N LONG AVE (5400 W) TO N LOCKWOOD,3700.0
30,2017,Street Speed Hump,AVE ON W ROSCOE ST FROM N LINDER AVE (5500 W) TO N LONG AVE (5400,967.32
30,2017,Traffic Signal LED Upgrade,W FULLERTON AVE & N AUSTIN AVE,14000.0
30,2017,Traffic Signal LED Upgrade,W FULLERTON AVE & N MENARD AVE,14000.0
