ward,year,category,location,cost
45,2017,Alley Resurfacing,5239 W STRONG ST,22390.33
45,2017,Alley Resurfacing,5000 N LAVERGNE AVE,1884.97
45,2017,Alley Resurfacing,5529 W GIDDINGS ST,10622.03
45,2017,Arterial Street Bump Outs,AVE:N MILWAUKEE AVE & W WARNER AVE,125405.6
45,2017,Bollard,N MILWAUKEE AVE & W LAWRENCE AVE,16272.0
45,2017,Curb & Gutter,ON N KILPATRICK AVE FROM 4300 N TO W PENSACOLA AVE,46863.34
45,2017,Curb & Gutter,W LAWRENCE AVE & N MENARD AVE,13198.81
45,2017,Curb & Gutter,AVE ON N MILWAUKEE AVE FROM N LARAMIE AVE (4628 N) TO W LELAND,170000.0
45,2017,Diagonal Parking,AVE ON N LONG AVE FROM W CATALPA AVE (5500 N) TO N ELSTON AVE,34663.56
45,2017,Unknown,Miscellaneous CDOT Projects (2017),6191.97
45,2017,Unknown,Miscellaneous CDOT Projects (2017) W IRVING PARK RD & N KOSTNER AVE,2100.0
45,2017,Unknown,Miscellaneous Other Projects (2017) W IRVING PARK RD & N PULASKI RD,18000.0
45,2017,Unknown,50/50 Neighborhood Arts Program,10000.0
45,2017,Sidewalk,N KENNETH AVE & N MILWAUKEE AVE,2000.06
45,2017,Sidewalk,5834 W GUNNISON ST,4537.7
45,2017,Sidewalk,5012-5016 W CULLOM AVE,8800.51
45,2017,Sidewalk,4921-4923 W WINONA ST,7026.81
45,2017,Sidewalk,4848 N CENTRAL AVE,9634.68
45,2017,Sidewalk,5405 N CENTRAL AVE,5459.98
45,2017,Sidewalk,5201 W ARGYLE ST,15623.18
45,2017,Sidewalk,3917 N KEELER AVE,13774.0
45,2017,Sidewalk,5312-5316 W CARMEN AVE,13673.82
45,2017,Sidewalk,5010 N MEADE AVE,5766.02
45,2017,Sidewalk,4151 N DICKINSON AVE,3975.31
45,2017,Sidewalk,5065 W SUNNYSIDE AVE,6741.6
45,2017,Sidewalk,3812 N KEELER AVE,1315.45
45,2017,Sidewalk,3900 W BYRON ST,28333.97
45,2017,Sidewalk,5136 W IRVING PARK RD,20330.51
45,2017,Sidewalk,LARAMIE AVE,22497.88
45,2017,Sidewalk,5659 N MAJOR AVE,24033.57
45,2017,Sidewalk,5550-5552 N CENTRAL AVE,218.05
45,2017,Sidewalk,5509-5513 N MASON AVE,1391.43
45,2017,Sidewalk,4045 N KOLMAR AVE,4436.14
45,2017,Street Bump Outs,W STRONG ST & N NATCHEZ AVE,6606.41
45,2017,Street Bump Outs,W STRONG ST & N NEENAH AVE,6327.33
45,2017,Street Bump Outs,W STRONG ST & N NASHVILLE AVE,6606.41
45,2017,Street Resurfacing,PETERSON AVE ON N LAMON AVE FROM W BYRON ST (3900 N) TO W DAKIN ST (3930,135858.28
45,2017,Street Resurfacing,AVE ON N LUNA AVE FROM W CATALPA AVE (5500 N) TO W BRYN MAWR,47756.99
45,2017,Street Resurfacing,AVE ON N LECLAIRE AVE FROM W FOSTER AVE (5200 N) TO W WINNEMAC,61371.8
45,2017,Street Resurfacing,AVE ON N MASON AVE FROM W CARMEN AVE (5100 N) TO W FOSTER AVE,81911.51
45,2017,Street Speed Hump,AVE ON N HARDING AVE FROM W IRVING PARK RD (4000 N) TO W BELLE,1850.0
45,2017,Street Speed Hump,PLAINE AVE,1850.0
45,2017,Street Speed Hump,5600 W GUNNISON ST ON N MULLIGAN AVE FROM N NORTHWEST HWY (5720 N) TO W,3700.0
45,2017,Viaduct Improvement,4970 N MILWAUKEE AVE,30000.0
45,2017,Unknown,MENU BUDGET,1320000.0
45,2017,Unknown,WARD COMMITTED 2017 TOTAL,1249540.14
45,2017,Unknown,WARD 2017 BALANCE,70459.86
