ward,year,category,location,cost,_run_id,_success,_lat,_lon,_confidence
35,2017,Alley Apron,N KILDARE AVE & W CORTLAND ST,12861.23,ward1_2017_001,True,41.91524967086387,-87.73382332816654,0.95
35,2017,Alley Resurfacing,AVE,39912.0,ward1_2017_002,True,,,0.0
35,2017,Alley Resurfacing,4100 N MONTICELLO AVE,34347.74,ward1_2017_003,True,41.95575115,-87.71941585,0.97
35,2017,Alley Resurfacing,4200 N RIDGEWAY AVE,36575.1,ward1_2017_004,True,41.95738013225303,-87.72159483072141,0.88
35,2017,Alley Resurfacing,4400 N CENTRAL PARK AVE,29635.33,ward1_2017_005,True,41.961069358815,-87.71803973416128,0.88
35,2017,Alley Resurfacing,4400 N KIMBALL AVE,12696.12,ward1_2017_006,True,41.961129311176755,-87.71313604710494,0.88
35,2017,Alley Resurfacing,3600 W MONTROSE AVE,29844.51,ward1_2017_007,True,41.96133373,-87.7186607,0.97
35,2017,Alley Resurfacing,N KILDARE AVE & W ARMITAGE AVE&N LOWELL AVE & W CORTLAND ST,37261.43,ward1_2017_008,True,41.92633374352348,-87.73465188421703,0.9
35,2017,Alley Resurfacing,N KILDARE AVE & W PALMER ST&N TRIPP AVE & W BELDEN AVE,32030.19,ward1_2017_009,True,41.92165817539652,-87.73341896627814,0.9
35,2017,Alley Resurfacing,N KILDARE AVE & W PALMER ST&N LOWELL AVE & W BELDEN AVE,24884.21,ward1_2017_010,True,41.93072546126372,-87.734796120943,0.9
35,2017,Alley Resurfacing,AVE N KIMBALL AVE & W WELLINGTON AVE&N CHRISTIANA AVE & W BARRY,26824.17,ward1_2017_011,True,41.93565242806845,-87.71237809350148,0.95
35,2017,Curb & Gutter,2300-2330 N KEELER AVE,52619.42,ward1_2017_012,True,,,0.0
35,2017,Curb & Gutter,2641 N CENTRAL PARK AVE,2196.79,ward1_2017_013,True,41.92947007,-87.71662468,0.97
35,2017,Signs,N MILWAUKEE AVE & N SAWYER AVE,350.0,ward1_2017_014,True,41.93041905285149,-87.70961666414036,0.95
35,2017,Left-Turn Arrow,N MILWAUKEE AVE & N KIMBALL AVE,89307.0,ward1_2017_015,True,41.93198308021713,-87.71225309781728,0.95
35,2017,Unknown,50/50 Neighborhoods Arts Project,10000.0,ward1_2017_016,True,,,0.0
35,2017,Pedestrian Countdown Signal,N CENTRAL PARK AVE & W FULLERTON AVE,20000.0,ward1_2017_017,True,,,0.0
35,2017,Pedestrian Refuge Island,N KIMBALL AVE & W WELLINGTON AVE,33089.87,ward1_2017_018,True,41.93565242806845,-87.71237809350148,0.95
35,2017,Street Bump Outs,N KEELER AVE & W DICKENS AVE,51785.62,ward1_2017_019,True,41.91892974812085,-87.73150919853933,0.95
35,2017,Street Bump Outs,N KEELER AVE & W PALMER ST,41587.92,ward1_2017_020,True,41.92076531865606,-87.73156144387968,0.95
35,2017,Unknown,3000 N SAWYER AVE,3000.0,ward1_2017_021,True,41.9358237,-87.70900779,0.97
35,2017,Unknown,AVE,352000.0,ward1_2017_022,True,,,0.0
35,2017,Street Resurfacing,W GIDDINGS ST & N HAMLIN AVE,35102.4,ward1_2017_023,True,41.96738313184529,-87.72311800190049,0.95
35,2017,Street Resurfacing,MONTICELLO AVE,18585.07,ward1_2017_024,True,,,0.0
35,2017,Street Resurfacing,N MILWAUKEE AVE & N KEDZIE AVE,16369.26,ward1_2017_025,True,41.92904203135152,-87.7073584450881,0.95
35,2017,Street Resurfacing,BLVD ON W ALTGELD ST FROM N KIMBALL AVE (3400 W) TO N SAWYER AVE,40381.02,ward1_2017_026,True,41.926420906674764,-87.71652716708493,0.88
35,2017,Street Resurfacing,SUNNYSIDE AVE ON N CENTRAL PARK AVE FROM W CULLOM AVE (4300 N) TO W,3622.5,ward1_2017_027,True,,,0.0
35,2017,Street Resurfacing,MONTROSE AVE ON N DRAKE AVE FROM W FULLERTON AVE (2400 N) TO W BELDEN AVE,28056.03,ward1_2017_028,True,41.924159458277344,-87.71536708607853,0.88
35,2017,Street Speed Hump,AVE ON N DRAKE AVE FROM W WRIGHTWOOD AVE (2600 N) TO W,3700.0,ward1_2017_029,True,,,0.0
35,2017,Street Speed Hump,SCHUBERT AVE ON N WOODARD ST FROM N MILWAUKEE AVE (2820 N) TO N,3700.0,ward1_2017_030,True,,,0.0
35,2017,Street Speed Hump,SPAULDING AVE ON W SUNNYSIDE AVE FROM N LAWNDALE AVE (3700 W) TO N HAMLIN,3700.0,ward1_2017_031,True,41.96226147504253,-87.77418704942066,0.88
35,2017,Street Speed Hump,AVE ON N ST LOUIS AVE FROM W LYNDALE ST (2230 N) TO W BELDEN AVE,3700.0,ward1_2017_032,True,41.8597135081298,-87.71279158045485,0.88
