ward,year,category,location,cost
36,2017,Alley Apron,3142 N NATOMA AVE W GRAND AVE & N MERRIMAC AVE&W PALMER ST & N MELVINA,13112.17
36,2017,Alley Speed Hump,AVE:6200 W GRAND AVE,447.09
36,2017,Alley Speed Hump,AVE&N OAK PARK AVE & W ALTGELD ST,1400.0
36,2017,Unknown,Bell Park - New Multi Purpose Court 3020 N OAK PARK AVE,100000.0
36,2017,Unknown,Blackhawk Park 2318 N LAVERGNE AVE,35000.0
36,2017,Bollard,1934 N LECLAIRE AVE,645.26
36,2017,Bollard,2370 N NEWCASTLE AVE,791.85
36,2017,Unknown,Chicago Academy - New Playground 3400 N AUSTIN AVE,100000.0
36,2017,Curb & Gutter,2258 N KNOX AVE,10616.98
36,2017,Curb & Gutter,2838 N NEENAH AVE,2683.08
36,2017,Signs,W ADDISON ST & N CENTRAL AVE,350.0
36,2017,Unknown,Miscellaneous CDOT Projects (2017) 6045 W GRAND AVE,2350.0
36,2017,Unknown,50/50 Neighborhood Arts Project,16700.0
36,2017,Pedestrian Countdown Signal,N NARRAGANSETT AVE & W GRAND AVE,20000.0
36,2017,Pedestrian Refuge Island,W GRAND AVE & N MCVICKER AVE,38881.89
36,2017,Unknown,Reinberg Elementary - New Playground 3425 N MAJOR AVE,100000.0
36,2017,Sidewalk,2173 N MELVINA AVE,10492.67
36,2017,Sidewalk,6045 W GRAND AVE,2005.41
36,2017,Sidewalk,3358 N RUTHERFORD AVE,23646.36
36,2017,Sidewalk,2218 N KILBOURN AVE,22614.11
36,2017,Sidewalk,4627 W MCLEAN AVE,3795.21
36,2017,Sidewalk,5908 W HENDERSON ST,1656.96
36,2017,Sidewalk,3100 N NEWCASTLE AVE,29232.2
36,2017,Sidewalk,2101 N LEAMINGTON AVE,21267.95
36,2017,Sidewalk,6200 W GRAND AVE,7505.57
36,2017,Sidewalk,2200 N MERRIMAC AVE,25755.24
36,2017,Sidewalk,6935 W WOLFRAM ST,12899.23
36,2017,Street Light Upgrade,6236 W CORNELIA AVE ON W WRIGHTWOOD AVE FROM N OAK PARK AVE (6800 W) TO N,500.0
36,2017,Street Resurfacing,NORMANDY AVE ON N MELVINA AVE FROM W WARWICK AVE (3730 N) TO W WAVELAND,88140.09
36,2017,Street Resurfacing,AVE ON N MEADE AVE FROM W WARWICK AVE (3730 N) TO W WAVELAND,9309.05
36,2017,Street Resurfacing,AVE ON N MOODY AVE FROM W FULLERTON AVE (2400 N) TO W GRAND AVE,19749.53
36,2017,Street Resurfacing,ON W HENDERSON ST FROM 6556 W TO N NATOMA AVE,47919.21
36,2017,Street Resurfacing,MULLIGAN AVE ON N NATOMA AVE FROM W ROSCOE ST (3400 N) TO W HENDERSON ST,20861.48
36,2017,Street Resurfacing,AVE ON W SCHOOL ST FROM N MOBILE AVE (6300 W) TO N MELVINA AVE,29072.26
36,2017,Street Speed Hump,TO W BELDEN AVE ON N MEADE AVE FROM W ROSCOE ST (3400 N) TO W NEWPORT AVE,1850.0
36,2017,Unknown,Steinmetz College Prep Playground 3030 N MOBILE AVE,100000.0
36,2017,Traffic Signal LED Upgrade,W FULLERTON AVE & N AUSTIN AVE,14000.0
36,2017,Traffic Signal LED Upgrade,W FULLERTON AVE & N MENARD AVE,14000.0
36,2017,Unknown,MENU BUDGET,1320000.0
36,2017,Unknown,WARD COMMITTED 2017 TOTAL,1319999.99
36,2017,Unknown,WARD 2017 BALANCE,0.01
